"LL_AttemptsForProgress_0","LL_AttemptsForProgress_1","LL_AttemptsForProgress_2","LL_AttemptsForProgress_3","LL_CorrectKeyword","LL_DetectedCommands","LL_TimeITIEnd","LL_TimeITIStart","LL_TimeKeywordDetection","LL_TimeStartListening","LL_TimeStopListening","LL_TimeTrialEnd","LL_TimeTrialStart","LL_TrialStatus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_blockInstructions","correct_practiceInstructionsGestural","correct_welcome","count_blockInstructions","count_blockLoop","count_blockSequence","count_cleanUp","count_experimentSequence","count_finishedBlockNotice","count_finishedPracticeGestural","count_finishedPracticeVocal","count_getting_started","count_interfaceLoop_even","count_interfaceLoop_odd","count_interfaceSequence","count_logTrial","count_new_loop","count_new_repeat_cycle","count_practiceAndBlock","count_practiceInstructionsGestural","count_practiceInstructionsVocal","count_practiceLoop","count_prepareTrialCondition_1","count_presentOrder","count_questionnaireInstructions","count_runTrial","count_setUp","count_setUpInterface","count_thankYou","count_trialSequence","count_welcome","datetime","debugMode","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fixedOrder","font_bold","font_family","font_italic","font_size","font_underline","forceGestureMode","foreground","form_clicks","fullscreen","height","interface","keyboard_backend","keywordOrder","keywords","live_row","live_row_interfaceLoop_even","live_row_practiceLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","order","practice","repeat_cycle","response","response_blockInstructions","response_finishedBlockNotice","response_finishedPracticeGestural","response_finishedPracticeVocal","response_practiceInstructionsGestural","response_practiceInstructionsVocal","response_questionnaireInstructions","response_thankYou","response_time","response_time_blockInstructions","response_time_finishedBlockNotice","response_time_finishedPracticeGestural","response_time_finishedPracticeVocal","response_time_practiceInstructionsGestural","response_time_practiceInstructionsVocal","response_time_questionnaireInstructions","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_blockInstructions","time_blockLoop","time_blockSequence","time_cleanUp","time_experimentSequence","time_finishedBlockNotice","time_finishedPracticeGestural","time_finishedPracticeVocal","time_getting_started","time_interfaceLoop_even","time_interfaceLoop_odd","time_interfaceSequence","time_logTrial","time_new_loop","time_new_repeat_cycle","time_practiceAndBlock","time_practiceInstructionsGestural","time_practiceInstructionsVocal","time_practiceLoop","time_prepareTrialCondition_1","time_presentOrder","time_questionnaireInstructions","time_runTrial","time_setUp","time_setUpInterface","time_thankYou","time_trialSequence","time_welcome","timeoutPerCommand","title","total_correct","total_response_time","total_responses","uniform_coordinates","usedKeywordAmount","width"
"2","1","1","1","[0, 1, 1, 1, 1]","[2, 0, 1, 2, 3]","1609072483.8741894","1609072480.8661609","[1609072447.3874035, 1609072456.8672678, 1609072462.5014813, 1609072469.799856, 1609072475.2938862]","[1609072444.850858, 1609072452.2276845, 1609072461.872403, 1609072469.1753774, 1609072474.597062]","[1609072447.3873417, 1609072456.8671978, 1609072462.50141, 1609072469.799809, 1609072475.2938118]","1609072480.8660202","1609072444.8368843","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","0","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 2, 3]","yes","0","space","space","NA","NA","NA","space","NA","NA","NA","66797","27857","NA","NA","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","NA","NA","NA","7572","NA","NA","NA","NA","53569","NA","54199","160042","NA","NA","NA","54202","NA","120999","NA","NA","NA","121004","7577","54199","NA","121003","7581","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"3","1","1","1","[0, 0, 1, 1, 1, 1]","[2, 2, 4, 5, 2, 3]","1609072527.9197342","1609072524.9141665","[1609072490.5633142, 1609072495.8879871, 1609072501.431708, 1609072507.53207, 1609072513.7637193, 1609072519.1948907]","[1609072484.1953764, 1609072495.4166949, 1609072500.7594755, 1609072506.9211302, 1609072513.050688, 1609072518.5832453]","[1609072490.5632517, 1609072495.8877602, 1609072501.431625, 1609072507.5320058, 1609072513.7635405, 1609072519.1948247]","1609072524.9140215","1609072484.1792662","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","1","NA","NA","NA","0","0","0","NA","NA","0","1","0","0","0","1","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","1","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[4, 5, 2, 3]","yes","0","space","space","NA","NA","NA","space","NA","NA","NA","66797","27857","NA","NA","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","NA","NA","NA","7572","NA","NA","NA","NA","53569","NA","54199","204148","NA","NA","NA","54202","NA","120999","NA","NA","NA","160347","7577","54199","NA","160346","7581","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[0, 1, 4, 5]","1609072558.7319736","1609072555.7271748","[1609072531.160107, 1609072536.7948127, 1609072544.1461093, 1609072550.2225285]","[1609072528.0966737, 1609072536.183706, 1609072543.517934, 1609072549.5974405]","[1609072531.160058, 1609072536.794737, 1609072544.1460426, 1609072550.2224336]","1609072555.7270303","1609072528.0831242","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","2","NA","NA","NA","0","0","0","NA","NA","0","2","0","0","0","2","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 4, 5]","yes","0","space","space","NA","NA","NA","space","NA","NA","NA","66797","27857","NA","NA","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","NA","NA","NA","7572","NA","NA","NA","NA","53569","NA","54199","234940","NA","NA","NA","54202","NA","120999","NA","NA","NA","204251","7577","54199","NA","204249","7581","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[1, 5, 3, 2]","1609072594.8329759","1609072591.8250914","[1609072567.0486925, 1609072574.3553576, 1609072580.46711, 1609072586.988513]","[1609072564.8695903, 1609072573.742033, 1609072579.846787, 1609072586.133552]","[1609072567.0486252, 1609072574.355294, 1609072580.4670453, 1609072586.9884436]","1609072591.8249476","1609072564.862034","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","3","NA","NA","NA","0","0","0","NA","NA","0","3","0","0","0","3","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[1, 5, 3, 2]","no","0","space","space","NA","space","NA","space","NA","NA","NA","5988","27857","NA","5988","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","NA","7572","NA","235034","NA","NA","53569","NA","54199","271002","NA","NA","NA","54202","NA","120999","NA","NA","NA","241029","7577","54199","NA","241029","7581","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"3","1","1","1","[0, 0, 1, 1, 1, 1]","[4, 4, 0, 5, 3, 4]","1609072639.1452544","1609072636.137682","[1609072598.8813305, 1609072605.3108213, 1609072612.6152506, 1609072618.246606, 1609072624.3442059, 1609072630.6831224]","[1609072594.9516866, 1609072604.3347025, 1609072610.751336, 1609072617.6366007, 1609072623.717531, 1609072630.0677793]","[1609072598.8812685, 1609072605.310574, 1609072612.6151824, 1609072618.24654, 1609072624.3441372, 1609072630.6830745]","1609072636.1375275","1609072594.9367623","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","4","NA","NA","NA","0","0","0","NA","NA","0","4","0","0","0","4","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 5, 3, 4]","no","0","space","space","NA","space","NA","space","NA","NA","NA","5988","27857","NA","5988","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","NA","7572","NA","235034","NA","NA","53569","NA","54199","315315","NA","NA","NA","54202","NA","120999","NA","NA","NA","271103","7577","54199","NA","271102","7581","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[3, 2, 0, 4]","1609072673.7887764","1609072670.783207","[1609072641.8446138, 1609072652.9752862, 1609072658.4755037, 1609072665.305278]","[1609072639.2660267, 1609072647.605656, 1609072657.8590355, 1609072663.5328517]","[1609072641.844567, 1609072652.9752192, 1609072658.475443, 1609072665.3052192]","1609072670.7830336","1609072639.2545495","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","5","NA","NA","NA","0","0","0","NA","NA","0","5","0","0","0","5","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[3, 2, 0, 4]","no","0","space","space","NA","space","NA","space","NA","NA","NA","5988","27857","NA","5988","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","NA","7572","NA","235034","NA","NA","53569","NA","54199","349959","NA","NA","NA","54202","NA","120999","NA","NA","NA","315422","7577","54199","NA","315420","7581","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[3, 5, 1, 2]","1609072704.946019","1609072701.9402287","[1609072676.039815, 1609072682.378976, 1609072688.5468569, 1609072697.0999985]","[1609072673.9240038, 1609072681.7663698, 1609072687.900074, 1609072695.3007607]","[1609072676.039735, 1609072682.3789153, 1609072688.5466917, 1609072697.099932]","1609072701.9400585","1609072673.8991792","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","6","NA","NA","NA","0","0","0","NA","NA","0","6","0","0","0","6","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","3","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[3, 5, 1, 2]","no","0","space","space","NA","space","NA","space","NA","NA","NA","5988","27857","NA","5988","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","NA","7572","NA","235034","NA","NA","53569","NA","54199","381115","NA","NA","NA","54202","NA","120999","NA","NA","NA","350066","7577","54199","NA","350063","7581","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[3, 1, 5, 4]","1609072737.0740883","1609072734.0690396","[1609072707.4984808, 1609072713.835077, 1609072721.137569, 1609072728.6653996]","[1609072705.064062, 1609072713.204989, 1609072720.5305166, 1609072726.6107187]","[1609072707.4984095, 1609072713.8350115, 1609072721.137498, 1609072728.6653366]","1609072734.0688865","1609072705.0499706","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","7","NA","NA","NA","0","0","0","NA","NA","0","7","0","0","0","7","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","4","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[3, 1, 5, 4]","no","0","space","space","NA","space","NA","space","NA","NA","NA","5988","27857","NA","5988","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","NA","7572","NA","235034","NA","NA","53569","NA","54199","413244","NA","NA","NA","54202","NA","120999","NA","NA","NA","381217","7577","54199","NA","381215","7581","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","NA","[1, 1, 1]","[2, 4, 3]","1609072769.9039834","1609072766.8956268","[1609072739.8233833, 1609072749.1210616, 1609072755.1750803]","[1609072737.194246, 1609072744.6562474, 1609072754.5618079, 1609072760.8634725]","[1609072739.8233194, 1609072749.1209764, 1609072755.175016, 1609072766.895486]","1609072766.8955905","1609072737.1804187","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","8","NA","NA","NA","0","0","0","NA","NA","0","8","0","0","0","8","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","5","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[2, 4, 3, 0]","no","0","space","space","NA","space","NA","space","NA","NA","NA","5988","27857","NA","5988","NA","66797","NA","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","NA","7572","NA","235034","NA","NA","53569","NA","54199","446074","NA","NA","NA","54202","NA","120999","NA","NA","NA","413348","7577","54199","NA","413343","7581","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[0, 1, 2, 3]","1609072837.8476465","1609072834.838867","[1609072807.0522954, 1609072813.877827, 1609072822.5352387, 1609072829.0836787]","[1609072803.9020698, 1609072812.1425247, 1609072820.6072943, 1609072827.4339888]","[1609072807.052213, 1609072813.8776681, 1609072822.535157, 1609072829.0835977]","1609072834.8387191","1609072803.894732","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","9","NA","NA","NA","1","1","1","NA","NA","0","9","0","1","0","9","0","Sun 27 Dec 2020 01:32:03 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","1","0","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-30.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 2, 3]","yes","0","space","space","space","space","NA","space","space","NA","NA","29013","27857","3007","5988","NA","66797","29013","NA","NA","18128","space","2","legacy","1024","2","48000","-16","experimentSequence","30","even","25711","241024","NA","446168","7572","447456","235034","NA","NA","53569","NA","451041","514017","NA","NA","NA","54202","451044","480058","NA","NA","NA","480061","7577","451042","NA","480061","7581","15","HRI Dance Experiment","0","0","0","yes","4","1680"
