"LL_CorrectKeyword","LL_DetectedCommands","LL_ProgressTrialFailedAt","LL_TimeITIEnd","LL_TimeITIStart","LL_TimeKeywordDetection","LL_TimeStartListening","LL_TimeStopListening","LL_TimeTrialEnd","LL_TimeTrialStart","LL_TrialStatus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_blockInstructions","correct_practiceInstructionsGestural","correct_welcome","count_blockInstructions","count_blockLoop","count_blockSequence","count_cleanUp","count_experimentSequence","count_finishedBlockNotice","count_finishedPracticeGestural","count_finishedPracticeVocal","count_getting_started","count_interfaceLoop_even","count_interfaceLoop_odd","count_interfaceSequence","count_logTrial","count_new_loop","count_new_repeat_cycle","count_practiceAndBlock","count_practiceInstructionsGestural","count_practiceInstructionsVocal","count_practiceLoop","count_prepareTrialCondition_1","count_presentOrder","count_questionnaireInstructions","count_runTrial","count_setUp","count_setUpInterface","count_thankYou","count_trialSequence","count_welcome","datetime","debugMode","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fixedOrder","font_bold","font_family","font_italic","font_size","font_underline","forceGestureMode","foreground","form_clicks","fullscreen","height","interface","keyboard_backend","keywordOrder","keywords","live_row","live_row_interfaceLoop_even","live_row_practiceLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","order","practice","repeat_cycle","response","response_blockInstructions","response_finishedBlockNotice","response_finishedPracticeGestural","response_finishedPracticeVocal","response_practiceInstructionsGestural","response_practiceInstructionsVocal","response_questionnaireInstructions","response_thankYou","response_time","response_time_blockInstructions","response_time_finishedBlockNotice","response_time_finishedPracticeGestural","response_time_finishedPracticeVocal","response_time_practiceInstructionsGestural","response_time_practiceInstructionsVocal","response_time_questionnaireInstructions","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_blockInstructions","time_blockLoop","time_blockSequence","time_cleanUp","time_experimentSequence","time_finishedBlockNotice","time_finishedPracticeGestural","time_finishedPracticeVocal","time_getting_started","time_interfaceLoop_even","time_interfaceLoop_odd","time_interfaceSequence","time_logTrial","time_new_loop","time_new_repeat_cycle","time_practiceAndBlock","time_practiceInstructionsGestural","time_practiceInstructionsVocal","time_practiceLoop","time_prepareTrialCondition_1","time_presentOrder","time_questionnaireInstructions","time_runTrial","time_setUp","time_setUpInterface","time_thankYou","time_trialSequence","time_welcome","timeoutPerCommand","title","total_correct","total_response_time","total_responses","uniform_coordinates","usedKeywordAmount","width"
"[]","[]","0","1609589399.5274332","1609589396.519712","[]","[1609589381.4931333]","[1609589396.5195749]","1609589396.5196753","1609589381.479597","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","0","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 2, 3]","yes","0","space","right","NA","NA","NA","space","NA","NA","NA","54982","15245","NA","NA","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","NA","NA","NA","7364","NA","NA","NA","NA","51864","NA","52400","125441","NA","NA","NA","52404","NA","107386","NA","NA","NA","107392","7364","52402","NA","107392","7366","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"[0, 1, 1, 1, 1]","[1, 4, 5, 2, 3]","NA","1609589445.9671404","1609589442.9608016","[1609589400.4275901, 1609589413.0157573, 1609589419.082114, 1609589430.0129828, 1609589437.2127776]","[1609589399.8129823, 1609589407.1294718, 1609589418.475708, 1609589424.5769813, 1609589434.8630664]","[1609589400.427533, 1609589413.015689, 1609589419.082054, 1609589430.0129204, 1609589437.2127135]","1609589442.9606407","1609589399.7950695","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","1","NA","NA","NA","0","0","0","NA","NA","0","1","0","0","0","1","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","1","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[4, 5, 2, 3]","yes","0","space","right","NA","NA","NA","space","NA","NA","NA","54982","15245","NA","NA","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","NA","NA","NA","7364","NA","NA","NA","NA","51864","NA","52400","171938","NA","NA","NA","52404","NA","107386","NA","NA","NA","125707","7364","52402","NA","125707","7366","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"[0, 0, 0, 0, 1, 1, 0, 1, 1]","[2, 2, 2, 2, 0, 1, 1, 4, 5]","NA","1609589524.901115","1609589521.8954074","[1609589453.279036, 1609589463.2158039, 1609589473.0450566, 1609589478.4107788, 1609589483.8177974, 1609589491.7394917, 1609589498.9411817, 1609589506.9705656, 1609589516.4081619]","[1609589446.138142, 1609589458.1961482, 1609589468.1339605, 1609589477.9380362, 1609589483.2916284, 1609589488.8767195, 1609589498.4782414, 1609589505.6482003, 1609589512.444744]","[1609589453.2789786, 1609589463.2157395, 1609589473.044997, 1609589478.410721, 1609589483.81773, 1609589491.739416, 1609589498.941123, 1609589506.9705014, 1609589516.4080906]","1609589521.8952718","1609589446.1252468","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","2","NA","NA","NA","0","0","0","NA","NA","0","2","0","0","0","2","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 4, 5]","yes","0","space","right","NA","NA","NA","space","NA","NA","NA","54982","15245","NA","NA","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","NA","NA","NA","7364","NA","NA","NA","NA","51864","NA","52400","250823","NA","NA","NA","52404","NA","107386","NA","NA","NA","172037","7364","52402","NA","172036","7366","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"[]","[]","0","1609589542.7393954","1609589539.734269","[]","[1609589533.723182]","[1609589539.7341108]","1609589539.734234","1609589533.7142496","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","3","NA","NA","NA","0","0","0","NA","NA","0","3","0","0","0","3","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[3, 5, 2, 1]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8718","15245","NA","8718","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","NA","7364","NA","250903","NA","NA","51864","NA","52400","268659","NA","NA","NA","52404","NA","107386","NA","NA","NA","259626","7364","52402","NA","259626","7366","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1, 1]","[1, 0, 4, 5]","NA","1609589578.7309513","1609589575.7236514","[1609589547.7266543, 1609589556.5356572, 1609589563.2344537, 1609589570.1986463]","[1609589542.8337808, 1609589554.4699636, 1609589561.5846922, 1609589568.721703]","[1609589547.7265828, 1609589556.535593, 1609589563.2343876, 1609589570.1985815]","1609589575.7234595","1609589542.824206","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","4","NA","NA","NA","0","0","0","NA","NA","0","4","0","0","0","4","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[1, 0, 4, 5]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8718","15245","NA","8718","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","NA","7364","NA","250903","NA","NA","51864","NA","52400","304646","NA","NA","NA","52404","NA","107386","NA","NA","NA","268736","7364","52402","NA","268736","7366","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1, 1]","[4, 1, 3, 5]","NA","1609589614.546805","1609589611.5394647","[1609589582.2972977, 1609589590.3284552, 1609589598.6929548, 1609589605.9924412]","[1609589578.8459866, 1609589587.760177, 1609589597.1069555, 1609589604.46337]","[1609589582.297222, 1609589590.328387, 1609589598.6928535, 1609589605.9923723]","1609589611.539314","1609589578.8306494","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","5","NA","NA","NA","0","0","0","NA","NA","0","5","0","0","0","5","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[4, 1, 3, 5]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8718","15245","NA","8718","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","NA","7364","NA","250903","NA","NA","51864","NA","52400","340462","NA","NA","NA","52404","NA","107386","NA","NA","NA","304743","7364","52402","NA","304742","7366","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1]","[0]","1","1609589631.565789","1609589628.5584846","[1609589617.5201192]","[1609589614.669224, 1609589622.5521936]","[1609589617.5200303, 1609589628.5583534]","1609589628.5584471","1609589614.6483688","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","6","NA","NA","NA","0","0","0","NA","NA","0","6","0","0","0","6","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","3","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 2, 5]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8718","15245","NA","8718","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","NA","7364","NA","250903","NA","NA","51864","NA","52400","357480","NA","NA","NA","52404","NA","107386","NA","NA","NA","340560","7364","52402","NA","340558","7366","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1, 1]","[3, 1, 4, 5]","NA","1609589667.098921","1609589664.0925257","[1609589635.257321, 1609589643.4215832, 1609589651.3217468, 1609589658.5865552]","[1609589631.6911523, 1609589641.0263298, 1609589650.177957, 1609589656.796876]","[1609589635.2572362, 1609589643.4215147, 1609589651.3216825, 1609589658.5864885]","1609589664.0923927","1609589631.6813345","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","7","NA","NA","NA","0","0","0","NA","NA","0","7","0","0","0","7","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","4","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[3, 1, 4, 5]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8718","15245","NA","8718","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","NA","7364","NA","250903","NA","NA","51864","NA","52400","393014","NA","NA","NA","52404","NA","107386","NA","NA","NA","357593","7364","52402","NA","357576","7366","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1, 1]","[3, 4, 5, 2]","NA","1609589699.0844169","1609589696.0787256","[1609589669.3529131, 1609589676.3178895, 1609589683.2182891, 1609589691.2157886]","[1609589667.225302, 1609589675.0725346, 1609589681.78098, 1609589688.7235491]","[1609589669.3528082, 1609589676.3176944, 1609589683.2182252, 1609589691.2157218]","1609589696.078569","1609589667.2131648","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","8","NA","NA","NA","0","0","0","NA","NA","0","8","0","0","0","8","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","5","0","2","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[3, 4, 5, 2]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8718","15245","NA","8718","NA","54982","NA","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","NA","7364","NA","250903","NA","NA","51864","NA","52400","425000","NA","NA","NA","52404","NA","107386","NA","NA","NA","393114","7364","52402","NA","393112","7366","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1, 1]","[0, 1, 2, 3]","NA","1609589751.7856407","1609589748.780368","[1609589720.9962893, 1609589728.0344052, 1609589736.6764252, 1609589742.9909432]","[1609589711.508987, 1609589726.1068208, 1609589734.8560243, 1609589741.577069]","[1609589720.996208, 1609589728.0342886, 1609589736.6763024, 1609589742.990873]","1609589748.780237","1609589711.5011284","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","9","NA","NA","NA","1","1","1","NA","NA","0","9","0","1","0","9","0","Sat 02 Jan 2021 01:07:54 PM CET","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","1","0","/home/parallels/Desktop/Parallels Shared Folders/Home/Documents/RU/Human-Robot Interaction/Final Project/Experiment/responses/V1/subject-32.csv","legacy","Lentiform Loewenfeld","3.3.6b1","[0, 1, 2, 3]","yes","0","space","right","space","space","NA","space","space","NA","NA","7164","15245","3531","8718","NA","54982","7164","NA","NA","29251","right","2","legacy","1024","2","48000","-16","experimentSequence","32","even","36619","259621","NA","425098","7364","426134","250903","NA","NA","51864","NA","430242","477700","NA","NA","NA","52404","430244","437409","NA","NA","NA","437413","7364","430242","NA","437413","7366","15","HRI Dance Experiment","0","0","0","yes","4","1680"
