"LL_CorrectKeyword","LL_DetectedCommands","LL_ProgressTrialFailedAt","LL_TimeITIEnd","LL_TimeITIStart","LL_TimeKeywordDetection","LL_TimeStartListening","LL_TimeStopListening","LL_TimeTrialEnd","LL_TimeTrialStart","LL_TrialStatus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_blockInstructions","correct_practiceInstructionsVocal","correct_welcome","count_blockInstructions","count_blockLoop","count_blockSequence","count_cleanUp","count_experimentSequence","count_finishedBlockNotice","count_finishedPracticeGestural","count_finishedPracticeVocal","count_getting_started","count_interfaceLoop_even","count_interfaceLoop_odd","count_interfaceSequence","count_logTrial","count_new_loop","count_new_repeat_cycle","count_practiceAndBlock","count_practiceInstructionsGestural","count_practiceInstructionsVocal","count_practiceLoop","count_prepareTrialCondition_1","count_presentOrder","count_questionnaireInstructions","count_runTrial","count_setUp","count_setUpInterface","count_thankYou","count_trialSequence","count_welcome","datetime","debugMode","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fixedOrder","font_bold","font_family","font_italic","font_size","font_underline","forceGestureMode","foreground","form_clicks","fullscreen","height","interface","keyboard_backend","keywordOrder","keywords","live_row","live_row_interfaceLoop_odd","live_row_practiceLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","order","practice","repeat_cycle","response","response_blockInstructions","response_finishedBlockNotice","response_finishedPracticeGestural","response_finishedPracticeVocal","response_practiceInstructionsGestural","response_practiceInstructionsVocal","response_questionnaireInstructions","response_thankYou","response_time","response_time_blockInstructions","response_time_finishedBlockNotice","response_time_finishedPracticeGestural","response_time_finishedPracticeVocal","response_time_practiceInstructionsGestural","response_time_practiceInstructionsVocal","response_time_questionnaireInstructions","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_blockInstructions","time_blockLoop","time_blockSequence","time_cleanUp","time_experimentSequence","time_finishedBlockNotice","time_finishedPracticeGestural","time_finishedPracticeVocal","time_getting_started","time_interfaceLoop_even","time_interfaceLoop_odd","time_interfaceSequence","time_logTrial","time_new_loop","time_new_repeat_cycle","time_practiceAndBlock","time_practiceInstructionsGestural","time_practiceInstructionsVocal","time_practiceLoop","time_prepareTrialCondition_1","time_presentOrder","time_questionnaireInstructions","time_runTrial","time_setUp","time_setUpInterface","time_thankYou","time_trialSequence","time_welcome","timeoutPerCommand","title","total_correct","total_response_time","total_responses","uniform_coordinates","usedKeywordAmount","width"
"[0, 0, 0, 0]","[1, 1, 2, 3]","0","1608991110.4767878","1608991107.465019","[1608991054.4441292, 1608991069.6713207, 1608991079.2094495, 1608991086.3146548]","[1608991048.3951907, 1608991061.500491, 1608991076.6378658, 1608991084.2928143, 1608991092.3231583]","[1608991054.4441292, 1608991069.6713207, 1608991079.2094495, 1608991086.3146548, 1608991107.4639897]","1608991107.4639897","1608991048.3712513","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","0","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","space","NA","NA","NA","NA","space","NA","NA","238937","9298","NA","NA","NA","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","NA","NA","NA","14628","NA","NA","NA","NA","NA","58638","59098","360166","NA","NA","NA","NA","59102","298039","NA","NA","NA","298043","14631","59098","NA","298043","14636","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"[0, 1, 0, 1, 1, 1]","[2, 4, 2, 5, 2, 3]","NA","1608991174.4555137","1608991171.4439492","[1608991115.7793863, 1608991125.827515, 1608991134.386068, 1608991148.9844, 1608991156.4756274, 1608991165.4589581]","[1608991110.5794563, 1608991120.8531697, 1608991131.6251173, 1608991139.4758446, 1608991154.7361212, 1608991161.5500402]","[1608991115.7793863, 1608991125.827515, 1608991134.386068, 1608991148.9844, 1608991156.4746335, 1608991165.4589581]","1608991171.4439492","1608991110.5534902","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","1","NA","NA","NA","0","0","0","NA","NA","0","1","0","0","0","1","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","1","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 2, 3]","yes","0","space","space","NA","NA","NA","NA","space","NA","NA","238937","9298","NA","NA","NA","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","NA","NA","NA","14628","NA","NA","NA","NA","NA","58638","59098","424145","NA","NA","NA","NA","59102","298039","NA","NA","NA","360225","14631","59098","NA","360223","14636","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"[]","[]","0","1608991192.6999843","1608991189.6887226","[]","[1608991174.5446572]","[1608991189.6887226]","1608991189.6887226","1608991174.5177605","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","2","NA","NA","NA","0","0","0","NA","NA","0","2","0","0","0","2","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 4, 5]","yes","0","space","space","NA","NA","NA","NA","space","NA","NA","238937","9298","NA","NA","NA","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","NA","NA","NA","14628","NA","NA","NA","NA","NA","58638","59098","442388","NA","NA","NA","NA","59102","298039","NA","NA","NA","424188","14631","59098","NA","424188","14636","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1]","[1, 5]","2","1608991335.0891385","1608991332.076405","[1608991310.3055396, 1608991320.1920927]","[1608991306.3876765, 1608991317.2993026, 1608991325.9274137]","[1608991310.3055396, 1608991320.1920927, 1608991332.076405]","1608991332.076405","1608991306.3647387","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","3","NA","NA","NA","0","0","0","NA","NA","0","3","0","0","0","3","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[1, 5, 2, 0]","no","0","space","space","NA","NA","space","NA","space","NA","NA","113596","9298","NA","NA","113596","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","NA","14628","NA","NA","442434","NA","NA","58638","59098","584777","NA","NA","NA","NA","59102","298039","NA","NA","NA","556035","14631","59098","NA","556035","14636","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1]","[1, 4]","2","1608991362.8469703","1608991359.8350127","[1608991338.8064933, 1608991347.9368715]","[1608991335.176781, 1608991345.8437848, 1608991353.6837218]","[1608991338.8064933, 1608991347.9368715, 1608991359.8350127]","1608991359.8350127","1608991335.151872","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","4","NA","NA","NA","0","0","0","NA","NA","0","4","0","0","0","4","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[1, 4, 0, 2]","no","0","space","space","NA","NA","space","NA","space","NA","NA","113596","9298","NA","NA","113596","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","NA","14628","NA","NA","442434","NA","NA","58638","59098","612537","NA","NA","NA","NA","59102","298039","NA","NA","NA","584823","14631","59098","NA","584822","14636","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1]","[4]","1","1608991381.4290993","1608991378.4171576","[1608991366.5363417]","[1608991362.9346263, 1608991372.2612503]","[1608991366.5363417, 1608991378.4171576]","1608991378.4171576","1608991362.9096925","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","5","NA","NA","NA","0","0","0","NA","NA","0","5","0","0","0","5","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 1, 3, 2]","no","0","space","space","NA","NA","space","NA","space","NA","NA","113596","9298","NA","NA","113596","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","NA","14628","NA","NA","442434","NA","NA","58638","59098","631117","NA","NA","NA","NA","59102","298039","NA","NA","NA","612581","14631","59098","NA","612581","14636","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1]","[4, 5, 2]","3","1608991417.966208","1608991414.9556966","[1608991384.6590862, 1608991395.551469, 1608991403.645441]","[1608991381.5117614, 1608991390.388503, 1608991401.333302, 1608991408.8013022]","[1608991384.6590862, 1608991395.551469, 1608991403.6444426, 1608991414.9546974]","1608991414.9556966","1608991381.4878347","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","6","NA","NA","NA","0","0","0","NA","NA","0","6","0","0","0","6","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","3","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 2, 1]","no","0","space","space","NA","NA","space","NA","space","NA","NA","113596","9298","NA","NA","113596","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","NA","14628","NA","NA","442434","NA","NA","58638","59098","667654","NA","NA","NA","NA","59102","298039","NA","NA","NA","631159","14631","59098","NA","631158","14636","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[1, 1, 1, 1]","[5, 2, 4, 3]","NA","1608991453.165468","1608991450.154336","[1608991421.5277088, 1608991429.4479644, 1608991436.5175211, 1608991444.2051182]","[1608991418.0548546, 1608991427.2955375, 1608991434.5591838, 1608991442.2743573]","[1608991421.5267124, 1608991429.4479644, 1608991436.5175211, 1608991444.2051182]","1608991450.154336","1608991418.0299222","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","7","NA","NA","NA","0","0","0","NA","NA","0","7","0","0","0","7","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","4","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[5, 2, 4, 3]","no","0","space","space","NA","NA","space","NA","space","NA","NA","113596","9298","NA","NA","113596","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","NA","14628","NA","NA","442434","NA","NA","58638","59098","702855","NA","NA","NA","NA","59102","298039","NA","NA","NA","667701","14631","59098","NA","667701","14636","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[]","[]","0","1608991462.42687","1608991459.414642","[]","[1608991453.253139]","[1608991459.414642]","1608991459.414642","1608991453.2292013","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","8","NA","NA","NA","0","0","0","NA","NA","0","8","0","0","0","8","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","5","0","2","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 5, 3, 2]","no","0","space","space","NA","NA","space","NA","space","NA","NA","113596","9298","NA","NA","113596","NA","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","NA","14628","NA","NA","442434","NA","NA","58638","59098","712115","NA","NA","NA","NA","59102","298039","NA","NA","NA","702901","14631","59098","NA","702901","14636","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[3, 2, 2, 1, 1, 2, 0, 1, 2, 3]","NA","1608991607.9746797","1608991604.9617019","[1608991526.8647733, 1608991534.6418452, 1608991542.7856412, 1608991549.6649623, 1608991558.1475825, 1608991567.455153, 1608991576.624825, 1608991584.3381143, 1608991592.1450636, 1608991598.8177989]","[1608991525.3951836, 1608991533.091435, 1608991539.9258542, 1608991548.04468, 1608991557.0200741, 1608991565.3924093, 1608991572.7264805, 1608991582.1089625, 1608991591.6080012, 1608991597.4489288]","[1608991526.8647733, 1608991534.6418452, 1608991542.7856412, 1608991549.6649623, 1608991558.1475825, 1608991567.455153, 1608991576.624825, 1608991584.3381143, 1608991592.1450636, 1608991598.8177989]","1608991604.9617019","1608991525.371222","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","9","NA","NA","NA","1","1","1","NA","NA","0","9","0","1","0","9","0","Sat Dec 26 14:52:30 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\emmav\Documents\AI Master year 1\HRI\HRI-Dance-Project\Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","1","0","C:/Users/emmav/Documents/AI Master year 1/HRI/HRI-Dance-Project/Experiment/subject-21.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","space","space","NA","space","space","space","NA","NA","49367","9298","9666","NA","113596","49367","238937","NA","NA","34698","space","2","legacy","1024","2","48000","-16","experimentSequence","21","odd","49340","556031","NA","712159","14628","712164","NA","442434","NA","NA","58638","725667","857665","NA","NA","NA","725672","59102","775040","NA","NA","NA","775042","14631","725667","NA","775042","14636","15","HRI Dance Experiment","0","0","0","yes","4","1680"
