"LL_AttemptsForProgress_0","LL_AttemptsForProgress_1","LL_AttemptsForProgress_2","LL_AttemptsForProgress_3","LL_CorrectKeyword","LL_DetectedCommands","LL_TimeITIEnd","LL_TimeITIStart","LL_TimeKeywordDetection","LL_TimeStartListening","LL_TimeStopListening","LL_TimeTrialEnd","LL_TimeTrialStart","LL_TrialStatus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_blockInstructions","correct_practiceInstructionsVocal","correct_welcome","count_blockInstructions","count_blockLoop","count_blockSequence","count_cleanUp","count_experimentSequence","count_finishedBlockNotice","count_finishedPracticeGestural","count_finishedPracticeVocal","count_getting_started","count_interfaceLoop_even","count_interfaceLoop_odd","count_interfaceSequence","count_logTrial","count_new_loop","count_new_repeat_cycle","count_practiceAndBlock","count_practiceInstructionsGestural","count_practiceInstructionsVocal","count_practiceLoop","count_prepareTrialCondition_1","count_presentOrder","count_questionnaireInstructions","count_runTrial","count_setUp","count_setUpInterface","count_thankYou","count_trialSequence","count_welcome","datetime","debugMode","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fixedOrder","font_bold","font_family","font_italic","font_size","font_underline","forceGestureMode","foreground","form_clicks","fullscreen","height","interface","keyboard_backend","keywordOrder","keywords","live_row","live_row_interfaceLoop_odd","live_row_practiceLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","order","practice","repeat_cycle","response","response_blockInstructions","response_finishedBlockNotice","response_finishedPracticeGestural","response_finishedPracticeVocal","response_practiceInstructionsGestural","response_practiceInstructionsVocal","response_questionnaireInstructions","response_thankYou","response_time","response_time_blockInstructions","response_time_finishedBlockNotice","response_time_finishedPracticeGestural","response_time_finishedPracticeVocal","response_time_practiceInstructionsGestural","response_time_practiceInstructionsVocal","response_time_questionnaireInstructions","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_blockInstructions","time_blockLoop","time_blockSequence","time_cleanUp","time_experimentSequence","time_finishedBlockNotice","time_finishedPracticeGestural","time_finishedPracticeVocal","time_getting_started","time_interfaceLoop_even","time_interfaceLoop_odd","time_interfaceSequence","time_logTrial","time_new_loop","time_new_repeat_cycle","time_practiceAndBlock","time_practiceInstructionsGestural","time_practiceInstructionsVocal","time_practiceLoop","time_prepareTrialCondition_1","time_presentOrder","time_questionnaireInstructions","time_runTrial","time_setUp","time_setUpInterface","time_thankYou","time_trialSequence","time_welcome","timeoutPerCommand","title","total_correct","total_response_time","total_responses","uniform_coordinates","usedKeywordAmount","width"
"1","1","1","1","[1, 1, 1, 1]","[0, 1, 2, 3]","1609086683.7851267","1609086680.774407","[1609086653.358927, 1609086661.5246994, 1609086669.3130927, 1609086675.4454374]","[1609086642.216477, 1609086658.000865, 1609086667.767911, 1609086673.8659828]","[1609086653.358927, 1609086661.5246994, 1609086669.3130927, 1609086675.4454374]","1609086680.774407","1609086642.1915872","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","0","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","space","NA","NA","NA","NA","space","NA","NA","1654","3164","NA","NA","NA","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","NA","NA","NA","8680","NA","NA","NA","NA","NA","13981","14467","57737","NA","NA","NA","NA","14470","16125","NA","NA","NA","16129","8687","14467","NA","16129","8691","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[4, 5, 2, 3]","1609086721.1387455","1609086718.128386","[1609086686.1596205, 1609086697.4840455, 1609086706.275774, 1609086712.8220823]","[1609086683.8784754, 1609086691.2649467, 1609086702.6478612, 1609086710.7899492]","[1609086686.1596205, 1609086697.483051, 1609086706.275774, 1609086712.8220823]","1609086718.128386","1609086683.852586","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","1","NA","NA","NA","0","0","0","NA","NA","0","1","0","0","0","1","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","1","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 2, 3]","yes","0","space","space","NA","NA","NA","NA","space","NA","NA","1654","3164","NA","NA","NA","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","NA","NA","NA","8680","NA","NA","NA","NA","NA","13981","14467","95087","NA","NA","NA","NA","14470","16125","NA","NA","NA","57790","8687","14467","NA","57789","8691","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","NA","[1, 1, 1]","[0, 1, 4]","1609086762.9709702","1609086759.9633403","[1609086724.1353962, 1609086730.905761, 1609086739.906093]","[1609086721.215838, 1609086728.8484426, 1609086737.0616705, 1609086744.8694665]","[1609086724.1353962, 1609086730.905761, 1609086739.906093, 1609086759.9624596]","1609086759.9633403","1609086721.1899025","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","2","NA","NA","NA","0","0","0","NA","NA","0","2","0","0","0","2","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 4, 5]","yes","0","space","space","NA","NA","NA","NA","space","NA","NA","1654","3164","NA","NA","NA","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","NA","NA","NA","8680","NA","NA","NA","NA","NA","13981","14467","136920","NA","NA","NA","NA","14470","16125","NA","NA","NA","95127","8687","14467","NA","95127","8691","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"NA","NA","NA","NA","[]","[]","1609086784.8199093","1609086781.8111782","[]","[1609086775.706214]","[1609086781.8111782]","1609086781.8111782","1609086775.6899004","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","3","NA","NA","NA","0","0","0","NA","NA","0","3","0","0","0","3","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[5, 0, 3, 4]","no","0","space","space","NA","NA","space","NA","space","NA","NA","12668","3164","NA","NA","12668","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","NA","8680","NA","NA","136956","NA","NA","13981","14467","158780","NA","NA","NA","NA","14470","16125","NA","NA","NA","149627","8687","14467","NA","149627","8691","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"3","1","NA","NA","[0, 0, 1, 1]","[5, 1, 2, 1]","1609086822.6642783","1609086819.6556096","[1609086785.415621, 1609086792.31114, 1609086800.3620946, 1609086807.3840494]","[1609086784.9439735, 1609086790.5330892, 1609086798.394791, 1609086804.7944365, 1609086813.553768]","[1609086785.415621, 1609086792.31114, 1609086800.3620946, 1609086807.3840494, 1609086819.6556096]","1609086819.6556096","1609086784.925072","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","4","NA","NA","NA","0","0","0","NA","NA","0","4","0","0","0","4","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[2, 1, 0, 4]","no","0","space","space","NA","NA","space","NA","space","NA","NA","12668","3164","NA","NA","12668","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","NA","8680","NA","NA","136956","NA","NA","13981","14467","196614","NA","NA","NA","NA","14470","16125","NA","NA","NA","158863","8687","14467","NA","158863","8691","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"3","1","1","1","[0, 0, 1, 1, 1, 1]","[0, 4, 2, 3, 0, 4]","1609086864.1686492","1609086861.1609614","[1609086823.0140128, 1609086829.8099325, 1609086836.6916573, 1609086842.7828434, 1609086849.7633502, 1609086856.1728423]","[1609086822.7287855, 1609086827.5815313, 1609086834.8436773, 1609086841.1300352, 1609086847.9511957, 1609086854.2608461]","[1609086823.0140128, 1609086829.8099325, 1609086836.6916573, 1609086842.7828434, 1609086849.7633502, 1609086856.1728423]","1609086861.1609614","1609086822.710881","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","5","NA","NA","NA","0","0","0","NA","NA","0","5","0","0","0","5","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[2, 3, 0, 4]","no","0","space","space","NA","NA","space","NA","space","NA","NA","12668","3164","NA","NA","12668","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","NA","8680","NA","NA","136956","NA","NA","13981","14467","238114","NA","NA","NA","NA","14470","16125","NA","NA","NA","196648","8687","14467","NA","196648","8691","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[0, 4, 3, 2]","1609086894.89471","1609086891.8873768","[1609086866.891681, 1609086873.3826404, 1609086880.3887856, 1609086887.4043145]","[1609086864.2772813, 1609086871.5313995, 1609086878.348156, 1609086885.623409]","[1609086866.891681, 1609086873.3826404, 1609086880.3887856, 1609086887.4033167]","1609086891.8873768","1609086864.2593775","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","6","NA","NA","NA","0","0","0","NA","NA","0","6","0","0","0","6","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","3","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 4, 3, 2]","no","0","space","space","NA","NA","space","NA","space","NA","NA","12668","3164","NA","NA","12668","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","NA","8680","NA","NA","136956","NA","NA","13981","14467","268841","NA","NA","NA","NA","14470","16125","NA","NA","NA","238197","8687","14467","NA","238196","8691","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","NA","[1, 1, 1]","[1, 5, 3]","1609086926.966008","1609086923.958483","[1609086897.875679, 1609086905.8319104, 1609086912.5739596]","[1609086894.9995027, 1609086904.0831397, 1609086910.8266108, 1609086917.8576891]","[1609086897.8747864, 1609086905.8319104, 1609086912.5739596, 1609086923.9575045]","1609086923.958483","1609086894.9815812","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","7","NA","NA","NA","0","0","0","NA","NA","0","7","0","0","0","7","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","4","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[1, 5, 3, 0]","no","0","space","space","NA","NA","space","NA","space","NA","NA","12668","3164","NA","NA","12668","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","NA","8680","NA","NA","136956","NA","NA","13981","14467","300915","NA","NA","NA","NA","14470","16125","NA","NA","NA","268919","8687","14467","NA","268919","8691","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[4, 5, 3, 0]","1609086958.287127","1609086955.279711","[1609086930.7055237, 1609086937.3135374, 1609086943.9640312, 1609086950.6825802]","[1609086927.031677, 1609086935.6181922, 1609086942.4022162, 1609086949.2205222]","[1609086930.7055237, 1609086937.3135374, 1609086943.9640312, 1609086950.6825802]","1609086955.279711","1609086927.0137389","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","8","NA","NA","NA","0","0","0","NA","NA","0","8","0","0","0","8","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","5","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 3, 0]","no","0","space","space","NA","NA","space","NA","space","NA","NA","12668","3164","NA","NA","12668","NA","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","NA","8680","NA","NA","136956","NA","NA","13981","14467","332237","NA","NA","NA","NA","14470","16125","NA","NA","NA","300951","8687","14467","NA","300951","8691","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"12","1","1","7","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[2, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 0, 1, 2, 2, 2, 1, 1, 2, 1, 3]","1609087188.8506138","1609087185.842064","[1609087012.9915771, 1609087023.2667239, 1609087030.8249557, 1609087035.9880512, 1609087043.6427817, 1609087051.9566538, 1609087058.770347, 1609087068.7391145, 1609087080.0991945, 1609087095.7173493, 1609087103.999593, 1609087114.1177924, 1609087119.5192506, 1609087128.3895116, 1609087135.9629447, 1609087143.2393658, 1609087148.3990824, 1609087156.8579905, 1609087164.9068778, 1609087170.3050687, 1609087180.7908041]","[1609087008.570246, 1609087017.2727165, 1609087027.6631553, 1609087035.13309, 1609087040.3665626, 1609087049.6049068, 1609087057.9162996, 1609087064.8123524, 1609087074.69589, 1609087085.1906722, 1609087101.644138, 1609087109.895376, 1609087118.6247694, 1609087125.4297874, 1609087132.734583, 1609087140.3132968, 1609087147.5510774, 1609087154.3490756, 1609087162.84374, 1609087169.2204635, 1609087176.255126]","[1609087012.9915771, 1609087023.2667239, 1609087030.8239589, 1609087035.9880512, 1609087043.6427817, 1609087051.9556158, 1609087058.770347, 1609087068.7391145, 1609087080.0991945, 1609087095.7173493, 1609087103.999593, 1609087114.1177924, 1609087119.5192506, 1609087128.3895116, 1609087135.9629447, 1609087143.2393658, 1609087148.3990824, 1609087156.8579905, 1609087164.9068778, 1609087170.3050687, 1609087180.7908041]","1609087185.842064","1609087008.5532908","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","9","NA","NA","NA","1","1","1","NA","NA","0","9","0","1","0","9","0","Sun Dec 27 17:30:26 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","1","0","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-41.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","space","space","NA","space","space","space","NA","NA","7210","3164","41860","NA","12668","7210","1654","NA","NA","2122","left alt","2","legacy","1024","2","48000","-16","experimentSequence","41","odd","10817","149624","NA","332269","8680","332272","NA","136956","NA","NA","13981","375276","562798","NA","NA","NA","375278","14470","382488","NA","NA","NA","382491","8687","375276","NA","382491","8691","15","HRI Dance Experiment","0","0","0","yes","4","1680"
