"LL_AttemptsForProgress_0","LL_AttemptsForProgress_1","LL_AttemptsForProgress_2","LL_AttemptsForProgress_3","LL_CorrectKeyword","LL_DetectedCommands","LL_TimeITIEnd","LL_TimeITIStart","LL_TimeKeywordDetection","LL_TimeStartListening","LL_TimeStopListening","LL_TimeTrialEnd","LL_TimeTrialStart","LL_TrialStatus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_blockInstructions","correct_practiceInstructionsGestural","correct_welcome","count_blockInstructions","count_blockLoop","count_blockSequence","count_cleanUp","count_experimentSequence","count_finishedBlockNotice","count_finishedPracticeGestural","count_finishedPracticeVocal","count_getting_started","count_interfaceLoop_even","count_interfaceLoop_odd","count_interfaceSequence","count_logTrial","count_new_loop","count_new_repeat_cycle","count_practiceAndBlock","count_practiceInstructionsGestural","count_practiceInstructionsVocal","count_practiceLoop","count_prepareTrialCondition_1","count_presentOrder","count_questionnaireInstructions","count_runTrial","count_setUp","count_setUpInterface","count_thankYou","count_trialSequence","count_welcome","datetime","debugMode","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fixedOrder","font_bold","font_family","font_italic","font_size","font_underline","forceGestureMode","foreground","form_clicks","fullscreen","height","interface","keyboard_backend","keywordOrder","keywords","live_row","live_row_interfaceLoop_even","live_row_practiceLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","order","practice","repeat_cycle","response","response_blockInstructions","response_finishedBlockNotice","response_finishedPracticeGestural","response_finishedPracticeVocal","response_practiceInstructionsGestural","response_practiceInstructionsVocal","response_questionnaireInstructions","response_thankYou","response_time","response_time_blockInstructions","response_time_finishedBlockNotice","response_time_finishedPracticeGestural","response_time_finishedPracticeVocal","response_time_practiceInstructionsGestural","response_time_practiceInstructionsVocal","response_time_questionnaireInstructions","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_blockInstructions","time_blockLoop","time_blockSequence","time_cleanUp","time_experimentSequence","time_finishedBlockNotice","time_finishedPracticeGestural","time_finishedPracticeVocal","time_getting_started","time_interfaceLoop_even","time_interfaceLoop_odd","time_interfaceSequence","time_logTrial","time_new_loop","time_new_repeat_cycle","time_practiceAndBlock","time_practiceInstructionsGestural","time_practiceInstructionsVocal","time_practiceLoop","time_prepareTrialCondition_1","time_presentOrder","time_questionnaireInstructions","time_runTrial","time_setUp","time_setUpInterface","time_thankYou","time_trialSequence","time_welcome","timeoutPerCommand","title","total_correct","total_response_time","total_responses","uniform_coordinates","usedKeywordAmount","width"
"2","1","5","3","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[4, 0, 1, 0, 0, 0, 0, 2, 2, 1, 3]","1609092818.9513848","1609092815.940595","[1609092747.3757482, 1609092753.1240869, 1609092758.697826, 1609092765.9067454, 1609092771.908885, 1609092777.401313, 1609092783.066145, 1609092788.7503693, 1609092794.4013357, 1609092802.329964, 1609092810.5149822]","[1609092745.3127286, 1609092752.257578, 1609092757.778502, 1609092764.7759924, 1609092770.4406507, 1609092776.5187752, 1609092782.0486474, 1609092787.7098594, 1609092793.3609664, 1609092798.9176462, 1609092808.5840187]","[1609092747.3757482, 1609092753.1240869, 1609092758.697826, 1609092765.9067454, 1609092771.908885, 1609092777.401313, 1609092783.066145, 1609092788.7503693, 1609092794.4013357, 1609092802.329964, 1609092810.5149822]","1609092815.940595","1609092745.296771","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","0","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","right","NA","NA","NA","space","NA","NA","NA","52433","8764","NA","NA","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","NA","NA","NA","6223","NA","NA","NA","NA","15925","NA","17054","143168","NA","NA","NA","17056","NA","69489","NA","NA","NA","69492","6230","17054","NA","69492","6233","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","3","2","1","[1, 0, 0, 1, 0, 1, 1]","[4, 4, 4, 5, 0, 2, 3]","1609092867.989788","1609092864.9792922","[1609092821.3120089, 1609092828.397297, 1609092834.5592027, 1609092840.698115, 1609092846.9622808, 1609092853.0253649, 1609092859.6256666]","[1609092819.1056511, 1609092826.5131164, 1609092833.5163927, 1609092839.65423, 1609092845.92501, 1609092851.668731, 1609092857.605603]","[1609092821.3120089, 1609092828.397297, 1609092834.5582128, 1609092840.698115, 1609092846.9622808, 1609092853.0253649, 1609092859.6256666]","1609092864.9792922","1609092819.0807624","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","1","NA","NA","NA","0","0","0","NA","NA","0","1","0","0","0","1","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","1","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 2, 3]","yes","0","space","right","NA","NA","NA","space","NA","NA","NA","52433","8764","NA","NA","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","NA","NA","NA","6223","NA","NA","NA","NA","15925","NA","17054","192200","NA","NA","NA","17056","NA","69489","NA","NA","NA","143276","6230","17054","NA","143276","6233","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"2","1","1","1","[0, 1, 1, 1, 1]","[4, 0, 1, 4, 5]","1609092902.5457377","1609092899.5353463","[1609092869.0978339, 1609092875.2160704, 1609092880.9324858, 1609092888.2897608, 1609092894.3956685]","[1609092868.0758126, 1609092874.189596, 1609092879.8931415, 1609092887.2396696, 1609092893.3772671]","[1609092869.0978339, 1609092875.2160704, 1609092880.9324858, 1609092888.2897608, 1609092894.3956685]","1609092899.5353463","1609092868.04988","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","2","NA","NA","NA","0","0","0","NA","NA","0","2","0","0","0","2","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 4, 5]","yes","0","space","right","NA","NA","NA","space","NA","NA","NA","52433","8764","NA","NA","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","NA","NA","NA","6223","NA","NA","NA","NA","15925","NA","17054","226755","NA","NA","NA","17056","NA","69489","NA","NA","NA","192245","6230","17054","NA","192245","6233","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"2","1","1","1","[0, 1, 1, 1, 1]","[4, 5, 2, 0, 1]","1609092947.3535895","1609092944.343394","[1609092912.706258, 1609092919.5761306, 1609092925.7677302, 1609092932.2459283, 1609092938.0246952]","[1609092911.0714638, 1609092917.8057845, 1609092924.7462533, 1609092930.3531582, 1609092936.9752924]","[1609092912.706258, 1609092919.5761306, 1609092925.7677302, 1609092932.2459283, 1609092938.0246952]","1609092944.343394","1609092911.0455608","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","3","NA","NA","NA","0","0","0","NA","NA","0","3","0","0","0","3","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[5, 2, 0, 1]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8441","8764","NA","8441","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","NA","6223","NA","226796","NA","NA","15925","NA","17054","271560","NA","NA","NA","17056","NA","69489","NA","NA","NA","235241","6230","17054","NA","235241","6233","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"2","1","1","1","[0, 1, 1, 1, 1]","[4, 0, 5, 4, 2]","1609092982.1600444","1609092979.1500034","[1609092948.5783858, 1609092954.8212104, 1609092961.8951051, 1609092968.0765016, 1609092974.5947626]","[1609092947.4314613, 1609092953.6770735, 1609092959.5504758, 1609092967.0640628, 1609092973.3058753]","[1609092948.5773897, 1609092954.8212104, 1609092961.8951051, 1609092968.0765016, 1609092974.5947626]","1609092979.1500034","1609092947.405536","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","4","NA","NA","NA","0","0","0","NA","NA","0","4","0","0","0","4","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 5, 4, 2]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8441","8764","NA","8441","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","NA","6223","NA","226796","NA","NA","15925","NA","17054","306366","NA","NA","NA","17056","NA","69489","NA","NA","NA","271601","6230","17054","NA","271601","6233","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[4, 2, 1, 0]","1609093013.9327257","1609093010.9208946","[1609092983.2562401, 1609092991.185713, 1609092997.321721, 1609093006.1763792]","[1609092982.2386856, 1609092988.3721926, 1609092995.7475128, 1609093003.5772607]","[1609092983.2562401, 1609092991.185713, 1609092997.321721, 1609093006.1763792]","1609093010.9208946","1609092982.2138083","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","5","NA","NA","NA","0","0","0","NA","NA","0","5","0","0","0","5","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 2, 1, 0]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8441","8764","NA","8441","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","NA","6223","NA","226796","NA","NA","15925","NA","17054","338144","NA","NA","NA","17056","NA","69489","NA","NA","NA","306409","6230","17054","NA","306408","6233","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"2","1","1","1","[0, 1, 1, 1, 1]","[0, 2, 3, 4, 0]","1609093052.873894","1609093049.8636725","[1609093016.7873523, 1609093023.2378824, 1609093032.4998045, 1609093038.8517058, 1609093045.2120845]","[1609093014.01595, 1609093021.4951906, 1609093027.8089259, 1609093037.8109193, 1609093043.9737236]","[1609093016.7873523, 1609093023.2378824, 1609093032.4998045, 1609093038.8517058, 1609093045.2120845]","1609093049.8636725","1609093013.9910593","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","6","NA","NA","NA","0","0","0","NA","NA","0","6","0","0","0","6","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","3","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[2, 3, 4, 0]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8441","8764","NA","8441","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","NA","6223","NA","226796","NA","NA","15925","NA","17054","377084","NA","NA","NA","17056","NA","69489","NA","NA","NA","338185","6230","17054","NA","338185","6233","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[5, 0, 4, 1]","1609093084.4873838","1609093081.4765835","[1609093056.162975, 1609093063.3233767, 1609093069.105486, 1609093075.2286143]","[1609093052.9606056, 1609093061.318335, 1609093068.0294688, 1609093074.2119348]","[1609093056.162975, 1609093063.3233767, 1609093069.105486, 1609093075.2286143]","1609093081.4765835","1609093052.9346826","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","7","NA","NA","NA","0","0","0","NA","NA","0","7","0","0","0","7","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","4","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[5, 0, 4, 1]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8441","8764","NA","8441","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","NA","6223","NA","226796","NA","NA","15925","NA","17054","408697","NA","NA","NA","17056","NA","69489","NA","NA","NA","377130","6230","17054","NA","377130","6233","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"4","1","1","1","[0, 0, 0, 1, 1, 1, 1]","[1, 0, 4, 3, 1, 2, 0]","1609093135.2922418","1609093132.2840743","[1609093085.9597027, 1609093093.8903434, 1609093099.3837821, 1609093108.0821447, 1609093114.2470045, 1609093121.3342524, 1609093127.7332964]","[1609093084.568865, 1609093092.2033937, 1609093098.5141277, 1609093104.3353581, 1609093113.336086, 1609093120.3508055, 1609093125.7021892]","[1609093085.9597027, 1609093093.8903434, 1609093099.3837821, 1609093108.0821447, 1609093114.2470045, 1609093121.3342524, 1609093127.7332964]","1609093132.2840743","1609093084.5438876","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","8","NA","NA","NA","0","0","0","NA","NA","0","8","0","0","0","8","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","5","0","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[3, 1, 2, 0]","no","0","space","right","NA","space","NA","space","NA","NA","NA","8441","8764","NA","8441","NA","52433","NA","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","NA","6223","NA","226796","NA","NA","15925","NA","17054","459514","NA","NA","NA","17056","NA","69489","NA","NA","NA","408739","6230","17054","NA","408739","6233","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[0, 1, 2, 3]","1609093179.7222836","1609093176.714865","[1609093145.7394054, 1609093152.004564, 1609093165.0529325, 1609093171.3823335]","[1609093143.2407138, 1609093150.3758185, 1609093158.208264, 1609093169.6594472]","[1609093145.7394054, 1609093152.004564, 1609093165.0529325, 1609093171.3823335]","1609093176.714865","1609093143.2237573","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","9","NA","NA","NA","1","1","1","NA","NA","0","9","0","1","0","9","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","1","0","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","right","space","space","NA","space","space","NA","NA","1682","8764","5530","8441","NA","52433","1682","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","459596","6223","459882","226796","NA","NA","15925","NA","465731","503929","NA","NA","NA","17056","465734","467416","NA","NA","NA","467419","6230","465732","NA","467419","6233","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[4, 5, 2, 3]","1609093212.842274","1609093209.8335533","[1609093182.2820833, 1609093189.0532603, 1609093198.4392982, 1609093204.5854673]","[1609093179.7944477, 1609093187.4859233, 1609093194.1282024, 1609093202.926657]","[1609093182.2820833, 1609093189.0532603, 1609093198.4392982, 1609093204.5854673]","1609093209.8335533","1609093179.775456","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","10","NA","NA","NA","1","1","1","NA","NA","0","10","0","1","0","10","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","1","1","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 2, 3]","yes","0","space","right","space","space","NA","space","space","NA","NA","1682","8764","5530","8441","NA","52433","1682","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","459596","6223","459882","226796","NA","NA","15925","NA","465731","537049","NA","NA","NA","17056","465734","467416","NA","NA","NA","503971","6230","465732","NA","503971","6233","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[0, 1, 4, 5]","1609093243.3460374","1609093240.3387094","[1609093214.858885, 1609093221.094647, 1609093228.6934671, 1609093235.278317]","[1609093212.9089682, 1609093219.5593226, 1609093227.2904205, 1609093233.677372]","[1609093214.858885, 1609093221.094647, 1609093228.6934671, 1609093235.278317]","1609093240.3387094","1609093212.890975","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","11","NA","NA","NA","1","1","1","NA","NA","0","11","0","1","0","11","0","Sun Dec 27 19:11:15 2020","off","The main experiment ","yes","NA","HRIDanceExperiment_lizzy_doing_experiment_version.osexp","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","yes","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","1","2","C:/Users/lizzy/PycharmProjects/HRI-Dance-Project/Experiment/subject-42.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 4, 5]","yes","0","space","right","space","space","NA","space","space","NA","NA","1682","8764","5530","8441","NA","52433","1682","NA","NA","924","left alt","2","legacy","1024","2","48000","-16","experimentSequence","42","even","7160","235237","NA","459596","6223","459882","226796","NA","NA","15925","NA","465731","567549","NA","NA","NA","17056","465734","467416","NA","NA","NA","537086","6230","465732","NA","537086","6233","15","HRI Dance Experiment","0","0","0","yes","4","1680"
