"LL_AttemptsForProgress_0","LL_AttemptsForProgress_1","LL_AttemptsForProgress_2","LL_AttemptsForProgress_3","LL_CorrectKeyword","LL_DetectedCommands","LL_TimeITIEnd","LL_TimeITIStart","LL_TimeKeywordDetection","LL_TimeStartListening","LL_TimeStopListening","LL_TimeTrialEnd","LL_TimeTrialStart","LL_TrialStatus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_blockInstructions","correct_practiceInstructionsGestural","correct_welcome","count_blockInstructions","count_blockLoop","count_blockSequence","count_cleanUp","count_experimentSequence","count_finishedBlockNotice","count_finishedPracticeGestural","count_finishedPracticeVocal","count_getting_started","count_interfaceLoop_even","count_interfaceLoop_odd","count_interfaceSequence","count_logTrial","count_new_loop","count_new_repeat_cycle","count_practiceAndBlock","count_practiceInstructionsGestural","count_practiceInstructionsVocal","count_practiceLoop","count_prepareTrialCondition_1","count_presentOrder","count_questionnaireInstructions","count_runTrial","count_setUp","count_setUpInterface","count_thankYou","count_trialSequence","count_welcome","datetime","debugMode","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","fixedOrder","font_bold","font_family","font_italic","font_size","font_underline","forceGestureMode","foreground","form_clicks","fullscreen","height","interface","keyboard_backend","keywordOrder","keywords","live_row","live_row_interfaceLoop_even","live_row_practiceLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","order","practice","repeat_cycle","response","response_blockInstructions","response_finishedBlockNotice","response_finishedPracticeGestural","response_finishedPracticeVocal","response_practiceInstructionsGestural","response_practiceInstructionsVocal","response_questionnaireInstructions","response_thankYou","response_time","response_time_blockInstructions","response_time_finishedBlockNotice","response_time_finishedPracticeGestural","response_time_finishedPracticeVocal","response_time_practiceInstructionsGestural","response_time_practiceInstructionsVocal","response_time_questionnaireInstructions","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_blockInstructions","time_blockLoop","time_blockSequence","time_cleanUp","time_experimentSequence","time_finishedBlockNotice","time_finishedPracticeGestural","time_finishedPracticeVocal","time_getting_started","time_interfaceLoop_even","time_interfaceLoop_odd","time_interfaceSequence","time_logTrial","time_new_loop","time_new_repeat_cycle","time_practiceAndBlock","time_practiceInstructionsGestural","time_practiceInstructionsVocal","time_practiceLoop","time_prepareTrialCondition_1","time_presentOrder","time_questionnaireInstructions","time_runTrial","time_setUp","time_setUpInterface","time_thankYou","time_trialSequence","time_welcome","timeoutPerCommand","title","total_correct","total_response_time","total_responses","uniform_coordinates","usedKeywordAmount","width"
"3","1","2","2","[0, 0, 1, 1, 0, 1, 0, 1]","[2, 2, 0, 1, 1, 2, 0, 3]","1609195255.1854017","1609195252.1411102","[1609195151.0355618, 1609195163.2595975, 1609195174.3099177, 1609195185.931086, 1609195199.176959, 1609195215.2006104, 1609195231.0187566, 1609195242.9627974]","[1609195143.1778982, 1609195158.8988488, 1609195171.0385365, 1609195182.4620743, 1609195196.721309, 1609195211.1407819, 1609195223.6876826, 1609195239.1882265]","[1609195151.0355618, 1609195163.2595975, 1609195174.3099177, 1609195185.931086, 1609195199.1759613, 1609195215.2006104, 1609195231.0187566, 1609195242.9627974]","1609195252.1411102","1609195143.0449748","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","0","NA","NA","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","0","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","space","return","NA","NA","NA","space","NA","NA","NA","7040","1603","NA","NA","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","NA","NA","NA","40728","NA","NA","NA","NA","53816","NA","63593","182865","NA","NA","NA","63608","NA","70650","NA","NA","NA","70697","40732","63594","NA","70696","40746","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[4, 5, 2, 3]","1609195311.3684635","1609195308.3255076","[1609195260.1416008, 1609195274.6444836, 1609195287.6529343, 1609195299.192457]","[1609195255.652551, 1609195269.3207202, 1609195283.8358662, 1609195295.6374764]","[1609195260.1416008, 1609195274.6444836, 1609195287.6529343, 1609195299.192457]","1609195308.3245087","1609195255.5186276","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","1","NA","NA","NA","0","0","0","NA","NA","0","1","0","0","0","1","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","4,5,2,3","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","1","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[4, 5, 2, 3]","yes","0","space","return","NA","NA","NA","space","NA","NA","NA","7040","1603","NA","NA","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","NA","NA","NA","40728","NA","NA","NA","NA","53816","NA","63593","239046","NA","NA","NA","63608","NA","70650","NA","NA","NA","183170","40732","63594","NA","183166","40746","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"8","1","1","1","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[2, 1, 2, 1, 2, 1, 3, 0, 1, 4, 5]","1609195508.200723","1609195505.1501868","[1609195324.1836042, 1609195335.7681372, 1609195353.1253657, 1609195370.505371, 1609195393.15522, 1609195406.7371445, 1609195432.3982785, 1609195450.6225576, 1609195464.4893725, 1609195480.8620136, 1609195495.2688866]","[1609195311.697294, 1609195332.0889697, 1609195347.1484487, 1609195361.0298443, 1609195381.9211917, 1609195401.9094286, 1609195419.1105351, 1609195442.7376728, 1609195459.7231836, 1609195476.9885495, 1609195490.7960775]","[1609195324.1836042, 1609195335.7681372, 1609195353.1253657, 1609195370.5043736, 1609195393.15522, 1609195406.7371445, 1609195432.3982785, 1609195450.6225576, 1609195464.4893725, 1609195480.8610148, 1609195495.2688866]","1609195505.1491873","1609195311.5863574","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","2","NA","NA","NA","0","0","0","NA","NA","0","2","0","0","0","2","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 4, 5]","yes","0","space","return","NA","NA","NA","space","NA","NA","NA","7040","1603","NA","NA","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","NA","NA","NA","40728","NA","NA","NA","NA","53816","NA","63593","435890","NA","NA","NA","63608","NA","70650","NA","NA","NA","239238","40732","63594","NA","239238","40746","15","HRI Dance Experiment","0","0","0","yes","4","1680"
"NA","NA","NA","NA","[]","[]","1609195523.1015387","1609195520.0244553","[]","[1609195513.8459313]","[1609195520.0234573]","1609195520.0234573","1609195513.7100089","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","3","NA","NA","NA","0","0","0","NA","NA","0","3","0","0","0","3","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 3, 2, 1]","no","0","return","return","NA","return","NA","space","NA","NA","NA","5214","1603","NA","5214","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","NA","40728","NA","436110","NA","NA","53816","NA","63593","450785","NA","NA","NA","63608","NA","70650","NA","NA","NA","441360","40732","63594","NA","441360","40746","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"NA","NA","NA","NA","[]","[]","1609195532.6304903","1609195529.5819032","[]","[1609195523.4413905]","[1609195529.5819032]","1609195529.5819032","1609195523.3014743","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","4","NA","NA","NA","0","0","0","NA","NA","0","4","0","0","0","4","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","1","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[3, 1, 0, 5]","no","0","return","return","NA","return","NA","space","NA","NA","NA","5214","1603","NA","5214","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","NA","40728","NA","436110","NA","NA","53816","NA","63593","460309","NA","NA","NA","63608","NA","70650","NA","NA","NA","450953","40732","63594","NA","450951","40746","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"NA","NA","NA","NA","[]","[]","1609195542.0998328","1609195539.0524793","[]","[1609195532.9414732]","[1609195539.0514784]","1609195539.0514784","1609195532.830543","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","5","NA","NA","NA","0","0","0","NA","NA","0","5","0","0","0","5","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","2","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[5, 3, 0, 4]","no","0","return","return","NA","return","NA","space","NA","NA","NA","5214","1603","NA","5214","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","NA","40728","NA","436110","NA","NA","53816","NA","63593","469791","NA","NA","NA","63608","NA","70650","NA","NA","NA","460483","40732","63594","NA","460482","40746","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"NA","NA","NA","NA","[0]","[2]","1609195563.9561646","1609195560.9111786","[1609195547.0030756]","[1609195542.4946039, 1609195554.8177993]","[1609195547.0030756, 1609195560.9101777]","1609195560.9101777","1609195542.3596835","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","6","NA","NA","NA","0","0","0","NA","NA","0","6","0","0","0","6","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","3","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 3, 4, 2]","no","0","return","return","NA","return","NA","space","NA","NA","NA","5214","1603","NA","5214","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","NA","40728","NA","436110","NA","NA","53816","NA","63593","491638","NA","NA","NA","63608","NA","70650","NA","NA","NA","470011","40732","63594","NA","470011","40746","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[5, 1, 2, 3]","1609195622.5558894","1609195619.5118601","[1609195569.2287478, 1609195581.9229696, 1609195596.5630841, 1609195610.1788688]","[1609195564.277066, 1609195578.2920449, 1609195592.9376752, 1609195604.5548306]","[1609195569.2287478, 1609195581.9229696, 1609195596.5630841, 1609195610.1788688]","1609195619.5118601","1609195564.1531358","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","7","NA","NA","NA","0","0","0","NA","NA","0","7","0","0","0","7","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","4","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[5, 1, 2, 3]","no","0","return","return","NA","return","NA","space","NA","NA","NA","5214","1603","NA","5214","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","NA","40728","NA","436110","NA","NA","53816","NA","63593","550241","NA","NA","NA","63608","NA","70650","NA","NA","NA","491804","40732","63594","NA","491804","40746","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","2","1","1","[1, 0, 1, 1, 1]","[3, 1, 0, 4, 2]","1609195688.8905227","1609195685.8458273","[1609195627.9256763, 1609195640.3439653, 1609195654.614503, 1609195665.6569812, 1609195678.11331]","[1609195622.8797486, 1609195637.0096238, 1609195651.156602, 1609195662.6297464, 1609195674.4838836]","[1609195627.9256763, 1609195640.3439653, 1609195654.614503, 1609195665.6569812, 1609195678.11331]","1609195685.8458273","1609195622.7778144","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","0","NA","0","0","0","0","0","NA","0","0","0","8","NA","NA","NA","0","0","0","NA","NA","0","8","0","0","0","8","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,4,5","no","mono","no","24","no","off","black","no","no","1050","gestural","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","5","0","2","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[3, 0, 4, 2]","no","0","return","return","NA","return","NA","space","NA","NA","NA","5214","1603","NA","5214","NA","7040","NA","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","NA","40728","NA","436110","NA","NA","53816","NA","63593","616569","NA","NA","NA","63608","NA","70650","NA","NA","NA","550429","40732","63594","NA","550429","40746","6","HRI Dance Experiment","0","0","0","yes","4","1680"
"1","1","1","1","[1, 1, 1, 1]","[0, 1, 2, 3]","1609195801.5135515","1609195798.472195","[1609195754.6714897, 1609195765.5373678, 1609195779.4247465, 1609195789.5199053]","[1609195749.4559991, 1609195762.6508949, 1609195776.0918324, 1609195787.1564965]","[1609195754.6714897, 1609195765.5373678, 1609195779.4247465, 1609195789.5199053]","1609195798.472195","1609195749.3480601","success","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","undefined","undefined","0","1","NA","1","0","1","1","1","NA","0","0","1","9","NA","NA","NA","1","1","1","NA","NA","0","9","0","1","0","9","0","Mon Dec 28 23:37:52 2020","off","The main experiment ","yes","NA","HRIDanceExperiment.osexp","C:\Users\Heleen\Documents\Intelligent technologies\HRI\team project\HRI-Dance-Project\Experiment","0,1,2,3","no","mono","no","24","no","off","black","no","no","1050","vocal","legacy","NA","['air guitar', 'clap your hands', 'do the disco', 'give a box', 'hands on hips', 'raise the roof']","0","1","0","C:/Users/Heleen/Documents/Intelligent technologies/HRI/team project/HRI-Dance-Project/Experiment/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.6","[0, 1, 2, 3]","yes","0","return","return","return","return","NA","space","return","NA","NA","54665","1603","3451","5214","NA","7040","54665","NA","NA","11446","return","2","legacy","1024","2","48000","-16","experimentSequence","0","even","52211","441327","NA","616736","40728","616863","436110","NA","NA","53816","NA","622306","729199","NA","NA","NA","63608","622319","676986","NA","NA","NA","677000","40732","622307","NA","676999","40746","15","HRI Dance Experiment","0","0","0","yes","4","1680"
