,Label,0_x,0_y,0_v,1_x,1_y,1_v,2_x,2_y,2_v,3_x,3_y,3_v,4_x,4_y,4_v,5_x,5_y,5_v,6_x,6_y,6_v,7_x,7_y,7_v,8_x,8_y,8_v,9_x,9_y,9_v,10_x,10_y,10_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,19_x,19_y,19_v,20_x,20_y,20_v,21_x,21_y,21_v,22_x,22_y,22_v,23_x,23_y,23_v,24_v,24_x,24_y
0,Disco,0.50159,0.19646,11.19334,0.51542,0.16632,11.78073,0.52752,0.16709,10.84571,0.53973,0.16824,9.77775,0.48390,0.16587,11.95440,0.47194,0.16635,11.35105,0.46011,0.16682,11.08646,0.55308,0.19625,7.28805,0.44380,0.19812,9.34723,0.52460,0.24311,8.29326,0.47625,0.24225,8.80414,0.63060,0.34371,3.67812,0.36729,0.41639,5.22666,0.82244,0.21239,2.18859,0.22189,0.64406,3.37249,0.93795,0.05945,0.96551,0.07881,0.84223,1.59912,0.98482,0.01386,0.19967,0.03446,0.89937,0.70828,0.96779,-0.00310,0.28889,0.03011,0.88731,0.83563,0.95743,0.01858,0.57456,0.04873,0.87684,1.06557,0.62820,0.83993,4.41559,5.87374,0.43588,0.84498
1,Disco,0.50047,0.19653,11.86681,0.51552,0.16657,12.64696,0.52775,0.16757,11.72430,0.54009,0.16900,10.65003,0.48368,0.16584,12.50811,0.47168,0.16615,11.80435,0.45983,0.16633,11.45714,0.55334,0.19684,7.78694,0.44336,0.19651,9.71514,0.52255,0.24337,8.59879,0.47423,0.24218,9.26900,0.62751,0.34387,4.54404,0.36429,0.41525,5.39208,0.81816,0.21772,3.66811,0.21976,0.64432,3.30621,0.95206,0.05807,2.49582,0.07783,0.84266,1.79066,1.01030,0.01293,1.56123,0.03401,0.89940,0.84339,0.99617,-0.00582,1.67366,0.03000,0.88751,0.94428,0.98161,0.01569,2.07874,0.04820,0.87649,1.22062,0.62742,0.81700,5.18291,6.37439,0.43580,0.83318
2,Disco,0.49893,0.19584,11.31200,0.51334,0.16615,11.87335,0.52547,0.16724,11.02394,0.53775,0.16890,10.01552,0.48165,0.16571,11.84426,0.46977,0.16628,11.19984,0.45804,0.16682,10.90999,0.55185,0.19668,7.36658,0.44255,0.19776,9.09813,0.52219,0.24261,8.08615,0.47412,0.24180,8.51211,0.63037,0.34420,3.85341,0.36552,0.41659,5.16898,0.82299,0.21688,2.71041,0.21919,0.64508,3.40648,0.93489,0.05946,1.77238,0.07915,0.83767,1.61976,0.99135,0.01588,0.94990,0.03613,0.89273,0.71681,0.98292,-0.00154,1.05148,0.03177,0.88115,0.80138,0.96412,0.02011,1.35612,0.04996,0.87156,1.02025,0.62504,0.82906,4.53347,5.65953,0.43303,0.83665
3,Disco,0.49900,0.19582,11.85852,0.51381,0.16687,12.40092,0.52596,0.16846,11.43676,0.53824,0.17061,10.29389,0.48204,0.16554,12.35592,0.47011,0.16602,11.65274,0.45833,0.16662,11.32581,0.55186,0.20002,7.30207,0.44249,0.19719,9.45746,0.52194,0.24352,8.37788,0.47378,0.24157,9.17837,0.62581,0.34444,4.29778,0.36459,0.41640,5.29053,0.80958,0.21818,3.60643,0.21908,0.64584,3.58915,0.93759,0.05904,2.50507,0.07917,0.83963,1.87733,0.99215,0.01272,1.57398,0.03613,0.89431,0.89581,0.97945,-0.00664,1.66044,0.03160,0.88164,0.97767,0.96419,0.01464,2.04604,0.04985,0.87175,1.26840,0.62506,0.80822,5.34774,6.83200,0.43551,0.82613
4,Disco,0.50005,0.19557,11.10364,0.51406,0.16596,11.78778,0.52622,0.16720,10.96221,0.53851,0.16889,10.02684,0.48228,0.16540,11.82961,0.47025,0.16593,11.25454,0.45837,0.16635,11.01632,0.55196,0.19874,7.49989,0.44196,0.19691,9.24029,0.52319,0.24350,8.27158,0.47460,0.24115,8.75198,0.62948,0.34665,3.89261,0.36360,0.41780,5.19254,0.82839,0.21677,2.57945,0.21788,0.64830,3.02350,0.94350,0.05677,1.30144,0.08232,0.84162,1.58960,0.99117,0.01017,0.51014,0.04206,0.89933,0.76697,0.97497,-0.00901,0.61868,0.04288,0.88607,0.94085,0.96252,0.01235,0.92422,0.06020,0.87567,1.15663,0.62829,0.84242,4.49235,5.40648,0.43385,0.85134
5,Disco,0.50292,0.19624,11.76054,0.51626,0.16625,12.37630,0.52838,0.16740,11.41361,0.54061,0.16900,10.31526,0.48437,0.16562,12.50588,0.47224,0.16607,11.92013,0.46026,0.16640,11.67002,0.55311,0.19845,7.58830,0.44292,0.19655,9.82769,0.52530,0.24378,8.48454,0.47675,0.24167,9.10451,0.62933,0.34604,4.25629,0.36338,0.41685,5.72695,0.82405,0.21632,3.57124,0.21747,0.64731,3.99949,0.94802,0.05477,2.31194,0.08230,0.84377,2.31405,0.99647,0.00940,1.41289,0.04160,0.90322,1.29280,0.98105,-0.01053,1.51919,0.04166,0.89078,1.38067,0.96886,0.01010,1.91567,0.05893,0.87937,1.65026,0.62799,0.83997,4.78948,6.20756,0.43379,0.84840
6,Disco,0.50176,0.19598,11.72967,0.51666,0.16627,12.10286,0.52884,0.16754,11.25504,0.54114,0.16916,10.24031,0.48463,0.16464,12.07967,0.47258,0.16449,11.50473,0.46067,0.16418,11.28810,0.55350,0.19840,7.47760,0.44351,0.19324,9.65757,0.52306,0.24372,8.46825,0.47481,0.24039,9.19107,0.62628,0.34650,4.15139,0.36127,0.41672,5.47551,0.81685,0.21915,3.49632,0.21734,0.64865,3.90212,0.94963,0.05502,2.61384,0.08006,0.84703,2.19528,0.99657,0.00962,1.77158,0.03827,0.90471,1.24742,0.98378,-0.00892,1.86400,0.03464,0.89286,1.26618,0.97017,0.01218,2.22263,0.05235,0.88190,1.51985,0.62474,0.82595,4.96076,6.35790,0.43280,0.84135
7,Disco,0.50333,0.19719,11.83967,0.51810,0.16672,12.35593,0.53059,0.16790,11.31577,0.54322,0.16943,10.16211,0.48556,0.16533,12.65287,0.47313,0.16527,12.00980,0.46085,0.16512,11.71104,0.55566,0.19866,7.36720,0.44304,0.19514,9.78381,0.52542,0.24502,8.38193,0.47576,0.24258,9.08066,0.62766,0.34515,4.19860,0.36171,0.41576,5.71023,0.81819,0.21220,3.03208,0.21770,0.64715,4.17834,0.93631,0.05418,1.64189,0.07700,0.84679,2.15484,0.97602,0.00948,0.65615,0.03137,0.90315,1.08048,0.95325,-0.01031,0.73831,0.02526,0.89181,1.21062,0.94732,0.01097,1.11995,0.04516,0.88214,1.50549,0.62269,0.81649,5.33211,6.86611,0.43136,0.82932
8,Disco,0.50057,0.19748,11.69450,0.51599,0.16694,12.55033,0.52847,0.16803,11.67046,0.54110,0.16945,10.65176,0.48342,0.16581,12.40088,0.47116,0.16582,11.71759,0.45904,0.16574,11.40601,0.55454,0.19859,7.91693,0.44188,0.19529,9.69064,0.52279,0.24529,8.55886,0.47367,0.24312,9.11928,0.62767,0.34341,4.82209,0.36184,0.41327,5.71531,0.82184,0.21187,3.73831,0.21811,0.64488,3.75243,0.94343,0.04782,2.53169,0.07706,0.84196,1.93830,0.97726,-0.00118,1.58046,0.03222,0.89829,0.95789,0.95771,-0.02379,1.70996,0.02697,0.88584,1.03789,0.95141,-0.00161,2.11463,0.04613,0.87482,1.30579,0.62541,0.81659,5.21091,6.35956,0.43201,0.83057
9,Disco,0.50072,0.19747,11.43754,0.51568,0.16645,12.17160,0.52814,0.16717,11.34982,0.54075,0.16815,10.37401,0.48297,0.16578,12.02948,0.47067,0.16582,11.40688,0.45853,0.16580,11.13148,0.55421,0.19557,7.73367,0.44135,0.19530,9.40251,0.52279,0.24489,8.31493,0.47367,0.24316,8.75283,0.62817,0.34386,4.22753,0.36093,0.41344,5.38044,0.82548,0.21317,3.65625,0.21354,0.64507,3.71953,0.95981,0.04882,2.53972,0.07713,0.84225,2.07943,1.00062,-0.00054,1.64947,0.03231,0.89813,1.12845,0.98463,-0.02326,1.77027,0.02817,0.88566,1.19460,0.97547,-0.00125,2.15834,0.04695,0.87453,1.43400,0.62371,0.81999,4.82302,5.90175,0.42856,0.83318
