,Label,0_x,0_y,0_v,1_x,1_y,1_v,2_x,2_y,2_v,3_x,3_y,3_v,4_x,4_y,4_v,5_x,5_y,5_v,6_x,6_y,6_v,7_x,7_y,7_v,8_x,8_y,8_v,9_x,9_y,9_v,10_x,10_y,10_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,19_x,19_y,19_v,20_x,20_y,20_v,21_x,21_y,21_v,22_x,22_y,22_v,23_x,23_y,23_v,24_v,24_x,24_y,25_v,25_x,25_y,26_v,26_x,26_y,27_v,27_x,27_y,28_v,28_x,28_y,29_v,29_x,29_y,30_v,30_x,30_y,31_v,31_x,31_y,32_v,32_x,32_y
0,Disco,0.47986,0.27764,1.00000,0.49878,0.23131,1.00000,0.51256,0.23211,0.99999,0.52625,0.23291,1.00000,0.45857,0.22921,1.00000,0.44354,0.22800,0.99999,0.42864,0.22685,1.00000,0.53778,0.24845,0.99998,0.39888,0.23955,0.99996,0.49867,0.32605,0.99999,0.44708,0.32178,0.99999,0.61855,0.46553,1.00000,0.29004,0.41955,0.99999,0.71259,0.72696,0.99790,0.09250,0.43987,0.99650,0.80186,0.92251,0.98251,0.03005,0.16671,0.98773,0.84017,0.98564,0.95943,0.00153,0.08039,0.94651,0.83654,0.97764,0.96652,0.02923,0.06050,0.95456,0.80704,0.95758,0.97155,0.05178,0.09908,0.97053,0.56853,0.99667,0.63658,0.55670,0.36363,1.00303,0.14547,0.57365,1.46175,0.34036,0.36242,1.46379,0.00964,0.56663,1.84954,0.01317,0.37301,1.84244,0.01178,0.56681,1.90994,0.01182,0.37239,1.89749,0.00632,0.54810,1.99997,0.00659,0.40475,1.99253
1,Disco,0.47940,0.27874,1.00000,0.49962,0.23140,1.00000,0.51373,0.23218,0.99997,0.52773,0.23296,1.00000,0.45876,0.22919,1.00000,0.44361,0.22790,0.99998,0.42858,0.22667,1.00000,0.54082,0.24780,0.99995,0.39996,0.23875,0.99991,0.49910,0.32705,0.99998,0.44642,0.32275,0.99999,0.62024,0.46781,0.99999,0.28886,0.41372,0.99998,0.71888,0.73286,0.99652,0.09409,0.45103,0.99049,0.81078,0.92404,0.97387,0.02108,0.19494,0.94961,0.85133,0.98573,0.93803,-0.00675,0.11216,0.81698,0.84615,0.97312,0.94948,0.01941,0.09190,0.84432,0.81718,0.95463,0.95723,0.04260,0.12810,0.88926,0.56815,0.99715,0.30561,0.24288,0.36229,1.00088,0.21791,0.57265,1.46627,0.41215,0.36197,1.46506,0.01541,0.56164,1.86492,0.02314,0.37179,1.85066,0.01515,0.56174,1.92438,0.01513,0.37199,1.90469,0.01011,0.54263,2.02168,0.01250,0.39681,2.00839
2,Disco,0.48048,0.27904,1.00000,0.50013,0.23220,1.00000,0.51407,0.23305,0.99997,0.52791,0.23386,1.00000,0.45944,0.22965,1.00000,0.44430,0.22824,0.99998,0.42929,0.22691,1.00000,0.54012,0.24857,0.99995,0.39963,0.23920,0.99991,0.49976,0.32717,0.99998,0.44740,0.32314,0.99998,0.61982,0.46995,0.99999,0.28842,0.41286,0.99997,0.73648,0.72874,0.99529,0.09005,0.43773,0.99435,0.84614,0.91129,0.95283,0.02490,0.16645,0.96452,0.88883,0.96928,0.89502,-0.00530,0.08098,0.84861,0.88659,0.95682,0.91726,0.02122,0.06637,0.87293,0.85644,0.93992,0.92904,0.04401,0.10293,0.91560,0.56961,0.99421,0.26999,0.19770,0.36191,0.99841,0.09164,0.57323,1.46735,0.33001,0.36419,1.46779,0.00519,0.56133,1.86898,0.01219,0.37380,1.85851,0.00585,0.56068,1.92964,0.00839,0.37315,1.91332,0.00370,0.54296,2.03074,0.00582,0.39781,2.02378
3,Disco,0.48234,0.27854,1.00000,0.50129,0.23114,1.00000,0.51498,0.23224,0.99997,0.52857,0.23340,1.00000,0.45984,0.22765,1.00000,0.44497,0.22610,0.99998,0.43025,0.22482,1.00000,0.53786,0.24661,0.99986,0.39827,0.23896,0.99996,0.49938,0.32740,0.99997,0.44790,0.32139,0.99998,0.63180,0.46853,0.99999,0.28610,0.41231,0.99999,0.79347,0.80241,0.97320,0.09844,0.58311,0.95247,0.76673,0.74486,0.98285,0.16716,0.44500,0.85299,0.75095,0.71713,0.98204,0.16665,0.40909,0.75770,0.73084,0.64720,0.98627,0.19812,0.39046,0.82399,0.72231,0.66408,0.98464,0.20551,0.41288,0.84050,0.60371,1.02983,0.67190,0.68617,0.36117,1.02333,0.01229,0.60886,1.53508,0.01494,0.37431,1.52748,0.00056,0.60838,1.99866,0.00064,0.37772,1.98493,0.00087,0.61098,2.06847,0.00052,0.37085,2.04937,0.00047,0.58710,2.14826,0.00035,0.41507,2.14040
4,Disco,0.48505,0.27934,1.00000,0.50408,0.23111,1.00000,0.51762,0.23157,0.99998,0.53106,0.23207,1.00000,0.46404,0.22892,1.00000,0.44946,0.22759,0.99999,0.43499,0.22646,1.00000,0.54195,0.24664,0.99995,0.40565,0.24069,0.99996,0.50438,0.32704,0.99999,0.45228,0.32327,0.99999,0.62865,0.46435,0.99999,0.29471,0.41892,0.99999,0.79401,0.68352,0.99605,0.13275,0.54805,0.99210,0.94648,0.74769,0.93810,0.14036,0.34708,0.93796,1.00185,0.76914,0.80053,0.08938,0.28264,0.76666,1.00474,0.74315,0.84348,0.12184,0.25614,0.80874,0.97574,0.74270,0.88245,0.15504,0.28870,0.86809,0.57984,1.01632,0.10227,0.10579,0.36619,1.01829,0.10040,0.58240,1.50166,0.37879,0.36985,1.50390,0.00564,0.58548,1.94266,0.01213,0.37355,1.93349,0.00450,0.59127,2.00531,0.00637,0.36977,1.99206,0.00508,0.55946,2.09348,0.00796,0.40187,2.09072
5,Disco,0.48228,0.27639,1.00000,0.50304,0.23033,1.00000,0.51697,0.23095,0.99999,0.53080,0.23162,1.00000,0.46272,0.22826,1.00000,0.44826,0.22708,0.99999,0.43389,0.22605,1.00000,0.54551,0.25023,0.99992,0.40745,0.24358,0.99997,0.50350,0.32666,0.99997,0.45092,0.32283,0.99998,0.62435,0.45474,0.99998,0.29918,0.42064,0.99999,0.80038,0.57174,0.99321,0.12661,0.48593,0.98689,0.97442,0.56123,0.90840,0.03090,0.30560,0.76823,1.02985,0.55872,0.77985,-0.02935,0.25823,0.50543,1.02643,0.52899,0.83793,-0.00565,0.22941,0.60301,0.99896,0.53943,0.87950,0.01837,0.25005,0.70870,0.57635,1.01882,0.29733,0.34549,0.36593,1.02149,0.05623,0.57876,1.50384,0.24488,0.37459,1.50236,0.00747,0.58271,1.95354,0.01384,0.38460,1.92436,0.00612,0.58710,2.01760,0.00680,0.38311,1.98108,0.00532,0.55742,2.10723,0.00895,0.41434,2.07698
6,Disco,0.48706,0.27439,1.00000,0.50604,0.22684,1.00000,0.52008,0.22640,0.99996,0.53403,0.22599,1.00000,0.46540,0.22762,1.00000,0.45076,0.22733,0.99988,0.43623,0.22711,1.00000,0.54829,0.24595,0.99993,0.41024,0.24666,0.99989,0.51068,0.32341,0.99994,0.45656,0.32300,0.99995,0.63108,0.44772,0.99999,0.30343,0.43111,0.99998,0.82314,0.53918,0.99742,0.12134,0.48214,0.99876,1.01563,0.43677,0.98031,-0.01471,0.27682,0.95591,1.07661,0.40126,0.92999,-0.07598,0.21292,0.85372,1.06560,0.37013,0.94487,-0.05293,0.17968,0.88862,1.03832,0.38808,0.96603,-0.02882,0.20477,0.93524,0.58489,1.00140,0.13698,0.08461,0.37474,1.00788,0.32749,0.59237,1.48621,0.64381,0.38150,1.49270,0.03828,0.59820,1.92065,0.04136,0.39187,1.90858,0.02421,0.60149,1.98368,0.01954,0.39030,1.96394,0.02049,0.57758,2.06497,0.02158,0.42176,2.05784
7,Disco,0.47632,0.27469,1.00000,0.49647,0.22738,1.00000,0.51054,0.22681,0.99999,0.52450,0.22627,1.00000,0.45596,0.22863,1.00000,0.44172,0.22840,0.99997,0.42758,0.22817,1.00000,0.54225,0.24652,0.99997,0.40535,0.24681,0.99995,0.50255,0.32288,0.99998,0.44854,0.32333,0.99999,0.62485,0.44492,0.99999,0.30739,0.44120,0.99999,0.83268,0.49701,0.99728,0.13243,0.50487,0.99744,1.01907,0.39939,0.96988,-0.00516,0.30651,0.97709,1.08194,0.36564,0.88505,-0.06961,0.24322,0.91219,1.06479,0.33125,0.91373,-0.04643,0.20830,0.93343,1.04015,0.34759,0.94597,-0.01835,0.23023,0.96175,0.57635,1.01531,0.08387,0.09112,0.37291,1.02001,0.15517,0.57730,1.50806,0.32797,0.37662,1.50224,0.01106,0.58851,1.93309,0.01501,0.38022,1.92031,0.00928,0.59455,1.99476,0.00692,0.38013,1.97783,0.00758,0.56125,2.07407,0.00826,0.39775,2.06659
8,Disco,0.47150,0.27653,1.00000,0.49285,0.22803,1.00000,0.50734,0.22734,0.99999,0.52169,0.22668,1.00000,0.45181,0.22966,1.00000,0.43747,0.22953,0.99993,0.42323,0.22938,1.00000,0.54115,0.24649,0.99998,0.40345,0.24742,0.99987,0.49908,0.32410,0.99997,0.44430,0.32482,0.99997,0.62721,0.44129,0.99999,0.30912,0.45071,0.99994,0.84212,0.49662,0.99603,0.14172,0.56726,0.99384,1.03436,0.38957,0.93770,0.00114,0.37310,0.93214,1.09821,0.34892,0.78726,-0.05887,0.30636,0.78408,1.08383,0.31457,0.83634,-0.03451,0.27023,0.83669,1.05788,0.33231,0.88892,-0.00665,0.29269,0.89900,0.56981,1.01937,0.23011,0.13292,0.36970,1.02473,0.14043,0.57062,1.51227,0.23582,0.36586,1.50492,0.01067,0.57896,1.93159,0.01171,0.36495,1.92059,0.00695,0.58523,1.99146,0.00500,0.36564,1.97831,0.00759,0.54295,2.07490,0.00755,0.38192,2.06453
9,Disco,0.47028,0.27894,1.00000,0.48958,0.23027,1.00000,0.50323,0.22940,1.00000,0.51679,0.22853,1.00000,0.45073,0.23187,1.00000,0.43680,0.23160,0.99999,0.42297,0.23123,1.00000,0.53571,0.24608,0.99999,0.40517,0.24748,0.99997,0.49753,0.32249,0.99999,0.44509,0.32461,0.99999,0.63444,0.43544,0.99998,0.31063,0.45468,0.99992,0.85197,0.43017,0.99618,0.16331,0.61083,0.98646,0.99751,0.24921,0.96044,0.01648,0.38839,0.93755,1.04386,0.18477,0.87947,-0.03800,0.33904,0.86066,1.02173,0.15693,0.90657,-0.03087,0.34739,0.89491,1.00188,0.18487,0.93948,-0.00510,0.37750,0.92785,0.56255,1.03630,0.22357,0.16389,0.37331,1.04100,0.19658,0.56882,1.48918,0.28318,0.36700,1.48406,0.01378,0.57196,1.84504,0.02109,0.37104,1.84537,0.01033,0.57397,1.89117,0.01399,0.37521,1.89404,0.01403,0.54538,2.00260,0.02471,0.37747,2.00255
