,Label,0_x,0_y,0_v,1_x,1_y,1_v,2_x,2_y,2_v,3_x,3_y,3_v,4_x,4_y,4_v,5_x,5_y,5_v,6_x,6_y,6_v,7_x,7_y,7_v,8_x,8_y,8_v,9_x,9_y,9_v,10_x,10_y,10_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,19_x,19_y,19_v,20_x,20_y,20_v,21_x,21_y,21_v,22_x,22_y,22_v,23_x,23_y,23_v,24_v,24_x,24_y,25_v,25_x,25_y,26_v,26_x,26_y,27_v,27_x,27_y,28_v,28_x,28_y,29_v,29_x,29_y,30_v,30_x,30_y,31_v,31_x,31_y,32_v,32_x,32_y
0,Disco,0.54440,0.28870,1.00000,0.55004,0.25244,1.00000,0.55868,0.25297,1.00000,0.56725,0.25352,1.00000,0.52159,0.25026,1.00000,0.50951,0.24950,1.00000,0.49753,0.24890,1.00000,0.55998,0.27242,0.99999,0.46495,0.26919,0.99998,0.55157,0.32977,0.99999,0.51231,0.32711,0.99999,0.61430,0.45129,0.99999,0.35291,0.45645,1.00000,0.79242,0.41493,0.99378,0.21954,0.63641,0.98971,0.91179,0.21971,0.96409,0.23943,0.83599,0.95672,0.94952,0.16054,0.88471,0.23995,0.90636,0.91437,0.92955,0.12594,0.90138,0.26541,0.89449,0.92982,0.91182,0.15660,0.93931,0.27388,0.88065,0.94290,0.55497,0.97132,0.98814,0.99535,0.40062,0.96004,0.31941,0.54916,1.31691,0.27030,0.39370,1.28787,0.02742,0.53977,1.55521,0.01903,0.39900,1.54553,0.02784,0.53474,1.59217,0.01378,0.40003,1.57942,0.01097,0.54319,1.69265,0.00958,0.40278,1.67225
1,Disco,0.54481,0.28906,1.00000,0.55026,0.25259,1.00000,0.55891,0.25304,1.00000,0.56748,0.25350,1.00000,0.52185,0.25053,1.00000,0.50974,0.24978,1.00000,0.49774,0.24917,1.00000,0.56022,0.27228,0.99999,0.46515,0.26969,0.99998,0.55211,0.33008,0.99999,0.51269,0.32758,0.99999,0.61490,0.44999,0.99999,0.35320,0.45511,1.00000,0.79311,0.41555,0.99194,0.22437,0.63868,0.98028,0.91089,0.21985,0.95322,0.24198,0.84006,0.92000,0.94876,0.16073,0.85018,0.24068,0.91124,0.84501,0.92834,0.12679,0.86835,0.26865,0.90055,0.87193,0.91032,0.15796,0.91763,0.27818,0.88599,0.89667,0.55353,0.96494,0.99406,0.99768,0.39937,0.95348,0.20797,0.54026,1.31663,0.15874,0.39137,1.28477,0.01502,0.52828,1.56548,0.01072,0.39075,1.54452,0.01568,0.52423,1.59949,0.00777,0.39023,1.57855,0.00625,0.52842,1.69794,0.00543,0.39824,1.67333
2,Disco,0.54452,0.28910,1.00000,0.54898,0.25267,1.00000,0.55754,0.25310,1.00000,0.56602,0.25349,1.00000,0.52088,0.25067,1.00000,0.50885,0.25010,1.00000,0.49692,0.24973,1.00000,0.55878,0.27233,0.99999,0.46471,0.27045,0.99997,0.55209,0.33011,0.99998,0.51264,0.32791,0.99999,0.61468,0.45016,0.99999,0.35325,0.45542,1.00000,0.79289,0.41700,0.98827,0.22462,0.64495,0.97833,0.90405,0.22393,0.96449,0.24326,0.85371,0.93869,0.94099,0.16639,0.89843,0.24127,0.92819,0.88811,0.92157,0.13515,0.91182,0.27161,0.91779,0.90878,0.90289,0.16649,0.94423,0.28127,0.90181,0.92650,0.55308,0.96553,0.97051,0.98981,0.39717,0.95416,0.13133,0.54134,1.31776,0.12000,0.39010,1.28704,0.00965,0.53035,1.57594,0.00728,0.38874,1.55525,0.01110,0.52605,1.60834,0.00561,0.38748,1.58939,0.00401,0.53264,1.70489,0.00362,0.39765,1.68469
3,Disco,0.54491,0.29091,1.00000,0.54905,0.25406,1.00000,0.55757,0.25435,1.00000,0.56602,0.25463,1.00000,0.52092,0.25250,1.00000,0.50887,0.25210,1.00000,0.49691,0.25191,1.00000,0.55860,0.27336,0.99999,0.46450,0.27308,0.99997,0.55223,0.33173,0.99999,0.51292,0.33021,0.99999,0.61427,0.45193,0.99999,0.35349,0.45643,1.00000,0.79252,0.42272,0.98682,0.22677,0.64442,0.97398,0.90234,0.22411,0.95782,0.24294,0.84810,0.91966,0.93910,0.16539,0.87717,0.23874,0.91911,0.85402,0.91989,0.13358,0.89336,0.26980,0.91049,0.87814,0.90145,0.16502,0.93334,0.28041,0.89560,0.90028,0.55303,0.96357,0.99363,0.99789,0.39707,0.95170,0.10055,0.54143,1.31606,0.10107,0.38932,1.28367,0.00750,0.53193,1.57551,0.00640,0.38734,1.54926,0.00835,0.52796,1.60670,0.00500,0.38537,1.58279,0.00275,0.53295,1.70150,0.00284,0.39750,1.67708
4,Disco,0.54462,0.29122,1.00000,0.54887,0.25433,1.00000,0.55735,0.25461,1.00000,0.56575,0.25489,1.00000,0.52081,0.25282,1.00000,0.50881,0.25240,1.00000,0.49691,0.25220,1.00000,0.55827,0.27337,0.99999,0.46440,0.27298,0.99997,0.55179,0.33160,0.99999,0.51280,0.33011,0.99999,0.61407,0.45152,0.99999,0.35436,0.45536,1.00000,0.79223,0.42342,0.99099,0.22765,0.64145,0.97878,0.90191,0.22440,0.96625,0.24173,0.84141,0.92696,0.93868,0.16562,0.89689,0.23751,0.91080,0.86751,0.91938,0.13363,0.90956,0.26789,0.90293,0.88914,0.90104,0.16504,0.94379,0.27817,0.88864,0.90881,0.55442,0.96273,0.99147,0.99728,0.39888,0.95119,0.14132,0.54496,1.31501,0.14492,0.39038,1.28372,0.01053,0.53677,1.57558,0.00956,0.38933,1.54981,0.01140,0.53321,1.60671,0.00713,0.38715,1.58315,0.00385,0.53744,1.70138,0.00426,0.40111,1.67756
5,Disco,0.54259,0.29131,1.00000,0.54780,0.25441,1.00000,0.55658,0.25484,1.00000,0.56534,0.25527,1.00000,0.51943,0.25264,1.00000,0.50742,0.25213,0.99999,0.49553,0.25182,1.00000,0.56001,0.27523,0.99998,0.46339,0.27323,0.99995,0.55003,0.33224,0.99998,0.51080,0.33026,0.99999,0.61460,0.45143,0.99999,0.35364,0.45532,1.00000,0.79362,0.42364,0.99343,0.22658,0.64110,0.98765,0.90832,0.22561,0.95959,0.25059,0.84121,0.94893,0.94621,0.16612,0.88389,0.25067,0.91046,0.90491,0.92833,0.13367,0.89967,0.27906,0.90196,0.92146,0.91055,0.16520,0.93723,0.28683,0.88777,0.93637,0.55380,0.96245,0.98483,0.99544,0.39892,0.95097,0.25310,0.54521,1.31407,0.32126,0.39016,1.28244,0.02759,0.53868,1.57267,0.02587,0.39084,1.54893,0.02663,0.53533,1.60443,0.01711,0.38952,1.58267,0.00964,0.53989,1.69666,0.01089,0.40191,1.67411
6,Disco,0.54199,0.29079,1.00000,0.54729,0.25392,1.00000,0.55610,0.25445,1.00000,0.56489,0.25503,1.00000,0.51890,0.25210,1.00000,0.50690,0.25159,1.00000,0.49501,0.25128,1.00000,0.56006,0.27634,0.99999,0.46316,0.27308,0.99997,0.54949,0.33157,0.99999,0.51027,0.32959,1.00000,0.61386,0.45102,1.00000,0.35361,0.45489,1.00000,0.79311,0.42291,0.99641,0.23023,0.63815,0.98619,0.91085,0.22567,0.96944,0.25388,0.83901,0.90477,0.95228,0.16604,0.89218,0.25352,0.90678,0.81512,0.93551,0.13354,0.90613,0.28089,0.90053,0.84880,0.91697,0.16510,0.94375,0.28860,0.88635,0.88206,0.55280,0.95298,0.99802,0.99901,0.39889,0.94202,0.28853,0.54468,1.30064,0.24047,0.38861,1.27380,0.02359,0.53942,1.56135,0.01523,0.38661,1.54542,0.02091,0.53640,1.59422,0.00985,0.38534,1.58192,0.00774,0.54223,1.68272,0.00584,0.39678,1.66848
7,Disco,0.54087,0.29027,1.00000,0.54672,0.25389,1.00000,0.55565,0.25447,1.00000,0.56453,0.25504,1.00000,0.51765,0.25166,1.00000,0.50552,0.25095,1.00000,0.49349,0.25041,1.00000,0.55939,0.27639,1.00000,0.46085,0.27216,0.99999,0.54841,0.33165,1.00000,0.50866,0.32921,1.00000,0.61401,0.45191,1.00000,0.34810,0.45524,1.00000,0.79357,0.42297,0.99264,0.21898,0.63936,0.97394,0.91008,0.23881,0.95435,0.25366,0.83551,0.88084,0.95019,0.18555,0.85997,0.25489,0.90283,0.78444,0.93287,0.15512,0.88317,0.28369,0.89003,0.83107,0.91480,0.18418,0.92410,0.29001,0.87549,0.85472,0.55352,0.95928,0.99594,0.99830,0.39809,0.95257,0.21463,0.55046,1.31767,0.17088,0.39094,1.29274,0.01632,0.55151,1.58357,0.01060,0.39584,1.56873,0.01526,0.54812,1.61681,0.00665,0.39383,1.60512,0.00604,0.55328,1.70457,0.00442,0.41033,1.68944
8,Disco,0.54015,0.29445,1.00000,0.54628,0.25797,1.00000,0.55511,0.25857,1.00000,0.56390,0.25918,1.00000,0.51749,0.25568,1.00000,0.50536,0.25489,1.00000,0.49334,0.25426,1.00000,0.55899,0.27967,0.99999,0.46094,0.27506,0.99997,0.54821,0.33526,0.99999,0.50827,0.33271,0.99999,0.61384,0.45447,0.99999,0.35032,0.45607,1.00000,0.79270,0.43111,0.99165,0.22132,0.63965,0.98368,0.90598,0.24338,0.96029,0.25253,0.83801,0.93867,0.94506,0.18663,0.88081,0.25275,0.90674,0.88871,0.92761,0.15680,0.89627,0.28225,0.89502,0.90904,0.90925,0.18729,0.93349,0.28919,0.88010,0.92525,0.55380,0.95927,0.98158,0.99428,0.39933,0.95224,0.17934,0.54949,1.31590,0.18260,0.39021,1.29180,0.01496,0.54936,1.58192,0.01336,0.39357,1.56603,0.01408,0.54561,1.61461,0.00931,0.39194,1.60177,0.00704,0.54958,1.70353,0.00761,0.40855,1.68757
9,Disco,0.53898,0.29539,1.00000,0.54590,0.25907,1.00000,0.55485,0.25969,1.00000,0.56374,0.26032,1.00000,0.51698,0.25682,1.00000,0.50490,0.25604,1.00000,0.49293,0.25542,1.00000,0.55910,0.28061,0.99999,0.46096,0.27596,0.99998,0.54778,0.33623,0.99999,0.50779,0.33369,1.00000,0.61440,0.45693,1.00000,0.35172,0.45815,1.00000,0.79263,0.43379,0.99361,0.22338,0.64067,0.98736,0.90437,0.25106,0.96137,0.24754,0.83908,0.94303,0.94390,0.19655,0.87878,0.24490,0.90758,0.89234,0.92684,0.16586,0.89541,0.27241,0.89598,0.91238,0.90782,0.19522,0.93517,0.28223,0.88094,0.92872,0.55352,0.96909,0.99302,0.99694,0.39905,0.95902,0.20680,0.54834,1.32312,0.19067,0.39014,1.29591,0.01705,0.54651,1.58703,0.01193,0.39300,1.56840,0.01635,0.54293,1.61855,0.00824,0.39194,1.60327,0.00676,0.54626,1.71446,0.00547,0.40647,1.69581
