,Label,0_x,0_y,0_v,1_x,1_y,1_v,2_x,2_y,2_v,3_x,3_y,3_v,4_x,4_y,4_v,5_x,5_y,5_v,6_x,6_y,6_v,7_x,7_y,7_v,8_x,8_y,8_v,9_x,9_y,9_v,10_x,10_y,10_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,19_x,19_y,19_v,20_x,20_y,20_v,21_x,21_y,21_v,22_x,22_y,22_v,23_x,23_y,23_v,24_v,24_x,24_y
0,Disco,0.47242,0.32989,9.75153,0.48433,0.29946,10.71374,0.49407,0.29767,10.46387,0.50376,0.29581,10.21228,0.45909,0.30428,10.16169,0.44965,0.30585,9.37613,0.44015,0.30708,8.32981,0.51871,0.31026,9.82903,0.43126,0.32622,5.83561,0.49380,0.35974,10.68740,0.45778,0.36545,8.92059,0.59434,0.47133,6.15749,0.39995,0.46289,3.38707,0.67623,0.72346,3.13369,0.33116,0.51646,1.94077,0.53722,0.72807,5.28510,0.39242,0.32310,4.80653,0.49195,0.75145,4.67315,0.40536,0.27330,4.55026,0.47960,0.70227,4.75171,0.41237,0.26850,4.67458,0.49269,0.69795,4.95520,0.41720,0.29256,4.97942,0.57533,0.77982,3.45034,2.77281,0.43305,0.78101
1,Disco,0.47349,0.32983,9.78260,0.48490,0.29942,10.67460,0.49465,0.29763,10.42488,0.50436,0.29579,10.18639,0.45959,0.30427,10.13205,0.45010,0.30584,9.36083,0.44054,0.30709,8.36384,0.51932,0.31027,9.67502,0.43127,0.32616,6.03439,0.49448,0.35972,11.00038,0.45850,0.36543,9.40610,0.59470,0.47170,6.31344,0.40019,0.46263,3.53320,0.67714,0.72771,3.37584,0.33018,0.51539,2.01509,0.53719,0.72860,5.49511,0.39445,0.32294,4.83829,0.49144,0.75162,4.79932,0.40750,0.27332,4.61895,0.47941,0.70232,4.88482,0.41394,0.26906,4.76523,0.49260,0.69806,5.09005,0.41850,0.29285,5.07222,0.57627,0.78037,3.82987,3.01364,0.43331,0.78172
2,Disco,0.47713,0.32983,9.83665,0.48547,0.29901,10.53087,0.49499,0.29672,10.24013,0.50452,0.29431,9.95575,0.46053,0.30439,10.07101,0.45104,0.30649,9.32092,0.44147,0.30859,8.29538,0.51912,0.30789,9.50818,0.43144,0.32777,5.87149,0.49794,0.35894,10.84061,0.46292,0.36563,9.09120,0.59501,0.47109,6.16226,0.40051,0.46249,3.78276,0.67722,0.73071,3.14609,0.33171,0.50881,2.21308,0.53731,0.72931,5.41131,0.39505,0.32087,4.91627,0.49086,0.75108,4.80373,0.40816,0.27141,4.67674,0.47963,0.70032,4.89378,0.41439,0.26580,4.80710,0.49278,0.69638,5.13422,0.41906,0.28937,5.14259,0.57503,0.78123,3.72162,3.15343,0.43302,0.78076
3,Disco,0.47217,0.32850,10.04374,0.48333,0.29889,11.29222,0.49312,0.29712,10.92939,0.50291,0.29529,10.58335,0.45816,0.30394,10.66125,0.44882,0.30600,9.63917,0.43941,0.30806,8.45723,0.51990,0.31038,9.57266,0.43118,0.32771,5.62599,0.49396,0.35903,10.14501,0.45859,0.36506,8.53169,0.59474,0.47310,5.97617,0.40203,0.46160,2.96310,0.67478,0.72697,3.23085,0.32486,0.51370,1.61826,0.53739,0.72717,5.45669,0.39216,0.32797,4.84622,0.49248,0.74909,4.81361,0.40620,0.27832,4.77540,0.48078,0.69934,4.94574,0.41348,0.27201,4.98712,0.49367,0.69538,5.12100,0.41810,0.29596,5.21611,0.57292,0.78192,3.29611,2.44556,0.43250,0.77844
4,Disco,0.47191,0.32859,9.59988,0.48307,0.29895,10.93116,0.49289,0.29716,10.64330,0.50271,0.29535,10.33243,0.45794,0.30426,10.31518,0.44862,0.30642,9.35965,0.43923,0.30858,8.20904,0.52007,0.31092,9.57169,0.43122,0.32852,5.47175,0.49408,0.35906,10.00633,0.45862,0.36554,8.27402,0.59497,0.47408,5.93789,0.40477,0.46262,2.91830,0.67505,0.72408,3.22759,0.32491,0.50569,1.68350,0.53697,0.72703,5.32802,0.39196,0.32146,4.76085,0.49188,0.74922,4.68861,0.40615,0.27231,4.59303,0.48075,0.70036,4.75457,0.41346,0.26744,4.73520,0.49390,0.69656,4.94081,0.41803,0.29203,4.98447,0.57322,0.78204,3.43009,2.70978,0.43583,0.77931
5,Disco,0.46950,0.33060,10.18267,0.48164,0.30015,11.13230,0.49158,0.29826,10.81306,0.50150,0.29631,10.53387,0.45656,0.30577,10.64653,0.44732,0.30795,9.77795,0.43802,0.31010,8.70934,0.51994,0.31151,9.82886,0.43121,0.32902,6.43066,0.49243,0.36057,10.77626,0.45705,0.36738,9.12141,0.59578,0.47418,6.26442,0.40532,0.46259,3.61501,0.67506,0.72643,3.20103,0.32589,0.50775,2.04352,0.53710,0.72794,5.44244,0.39240,0.32171,4.92358,0.49207,0.74948,4.75964,0.40605,0.27372,4.76661,0.48086,0.70037,4.89264,0.41365,0.26932,4.96066,0.49399,0.69660,5.12266,0.41859,0.29378,5.24748,0.57344,0.78258,3.75489,3.17411,0.43501,0.77915
6,Disco,0.46945,0.33104,9.73159,0.48164,0.30059,10.84997,0.49158,0.29896,10.54813,0.50151,0.29735,10.22135,0.45648,0.30578,10.31776,0.44717,0.30794,9.45376,0.43779,0.30998,8.40438,0.51956,0.31300,9.50403,0.43117,0.32872,6.02582,0.49190,0.36160,10.44767,0.45600,0.36750,8.83732,0.59572,0.47477,6.13525,0.40452,0.46261,3.35001,0.67546,0.72738,3.27531,0.32979,0.50633,2.08673,0.53780,0.72869,5.24404,0.39258,0.32197,4.39948,0.49257,0.75036,4.55582,0.40580,0.27450,4.18872,0.48174,0.70127,4.64716,0.41334,0.26929,4.28514,0.49477,0.69773,4.90415,0.41853,0.29329,4.59393,0.57246,0.78208,3.72349,3.17418,0.43319,0.77982
7,Disco,0.47166,0.33108,9.71068,0.48338,0.30060,10.53195,0.49330,0.29898,10.33791,0.50319,0.29737,10.14345,0.45805,0.30578,9.95357,0.44861,0.30794,9.17407,0.43909,0.30998,8.17006,0.52035,0.31299,9.60719,0.43164,0.32863,5.81804,0.49356,0.36162,10.38445,0.45751,0.36751,8.78893,0.59626,0.47444,6.13796,0.40392,0.46219,3.34677,0.67718,0.72689,3.35921,0.32315,0.51006,1.72542,0.53777,0.72851,5.51399,0.38978,0.32402,4.84864,0.49234,0.75044,4.84615,0.40351,0.27538,4.71480,0.48132,0.70146,4.94477,0.41186,0.26953,4.91867,0.49452,0.69793,5.14266,0.41694,0.29411,5.18150,0.57237,0.78145,3.53193,2.65604,0.43178,0.77829
8,Disco,0.47351,0.32812,9.64607,0.48516,0.29914,10.52408,0.49502,0.29787,10.23149,0.50487,0.29660,9.94184,0.45982,0.30370,9.94207,0.45043,0.30569,9.07066,0.44096,0.30759,8.00895,0.52178,0.31299,9.14999,0.43305,0.32710,5.46790,0.49533,0.35990,10.36845,0.45960,0.36500,8.77976,0.59769,0.47479,5.90047,0.40291,0.46345,3.29030,0.67803,0.73018,3.26342,0.32207,0.51236,1.79201,0.53874,0.72995,5.45563,0.39029,0.32507,4.84885,0.49308,0.75120,4.79868,0.40481,0.27593,4.76429,0.48212,0.70221,4.89275,0.41286,0.26991,4.95949,0.49529,0.69877,5.10688,0.41779,0.29471,5.21192,0.57178,0.78495,3.73308,3.01825,0.42975,0.78115
9,Disco,0.48003,0.32793,9.70255,0.49168,0.29904,10.71896,0.50125,0.29767,10.53351,0.51082,0.29636,10.32825,0.46686,0.30304,10.16129,0.45761,0.30459,9.38729,0.44829,0.30604,8.43996,0.52582,0.31292,9.69081,0.43844,0.32469,6.01397,0.49982,0.35956,10.22897,0.46482,0.36439,8.87400,0.59829,0.47462,6.44688,0.40427,0.46250,3.31314,0.67809,0.72792,3.34044,0.32707,0.52241,1.78536,0.54111,0.72806,5.44892,0.39411,0.32997,4.77449,0.49756,0.75122,4.81552,0.40770,0.27952,4.68579,0.48402,0.70346,4.96962,0.41605,0.27329,4.91940,0.49669,0.69927,5.17632,0.42148,0.29831,5.15269,0.57777,0.78309,3.47108,2.73267,0.43593,0.78042
10,Disco,0.48024,0.32714,10.16620,0.49158,0.29721,11.13301,0.50124,0.29508,10.75902,0.51074,0.29293,10.39225,0.46665,0.30313,10.61696,0.45736,0.30530,9.74336,0.44799,0.30723,8.60771,0.52587,0.30813,9.74997,0.43842,0.32651,5.81456,0.50099,0.35717,10.89897,0.46620,0.36467,9.11174,0.60220,0.47197,6.08926,0.40484,0.46350,3.56466,0.67906,0.73005,3.26989,0.32676,0.52057,2.21374,0.53868,0.72940,5.70548,0.39418,0.32693,5.42359,0.49343,0.75203,5.10946,0.40791,0.27312,5.15966,0.48039,0.70337,5.21578,0.41622,0.26771,5.34618,0.49364,0.69928,5.38877,0.42159,0.29393,5.62741,0.58518,0.78185,3.38776,2.91118,0.44195,0.78065
