,Label,0_x,0_y,0_v,1_x,1_y,1_v,2_x,2_y,2_v,3_x,3_y,3_v,4_x,4_y,4_v,5_x,5_y,5_v,6_x,6_y,6_v,7_x,7_y,7_v,8_x,8_y,8_v,9_x,9_y,9_v,10_x,10_y,10_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,19_x,19_y,19_v,20_x,20_y,20_v,21_x,21_y,21_v,22_x,22_y,22_v,23_x,23_y,23_v,24_v,24_x,24_y
0,Disco,0.48185,0.26289,11.62655,0.49921,0.22754,12.50636,0.51175,0.23047,11.78592,0.52447,0.23352,10.85156,0.46576,0.21859,12.41131,0.45271,0.21545,12.14252,0.43990,0.21217,12.11066,0.53194,0.25330,7.47646,0.41649,0.22964,10.63659,0.49858,0.30855,8.00317,0.44984,0.29726,9.98306,0.58730,0.40414,4.63368,0.31819,0.46156,6.46728,0.74688,0.29648,5.71064,0.28962,0.76506,4.84093,0.87926,0.07828,4.97647,0.36924,0.94839,6.17903,0.91540,0.01039,4.11264,0.39372,1.01726,5.25200,0.90206,-0.01649,4.17027,0.41574,0.98160,5.35436,0.88488,0.01588,4.72144,0.41683,0.95912,5.75566,0.58995,0.90296,3.69845,4.79326,0.38840,0.91845
1,Disco,0.48208,0.26325,11.73401,0.49999,0.22805,12.61290,0.51267,0.23119,11.95192,0.52553,0.23445,11.05107,0.46633,0.21867,12.36395,0.45315,0.21541,11.98130,0.44020,0.21205,11.83692,0.53270,0.25470,7.64593,0.41648,0.22952,10.28150,0.49860,0.30939,7.97310,0.44940,0.29740,9.63313,0.58629,0.40414,4.70687,0.31748,0.46118,5.32093,0.74274,0.29364,5.70713,0.29181,0.76678,4.01247,0.87828,0.07926,5.08760,0.37003,0.95304,5.23327,0.91348,0.01494,4.20264,0.39362,1.02310,4.46594,0.89963,-0.01082,4.27009,0.41582,0.99030,4.60531,0.88258,0.02062,4.76460,0.41757,0.96731,4.94174,0.58814,0.90205,3.37653,3.63277,0.38617,0.91754
2,Disco,0.48207,0.26305,11.84135,0.49994,0.22788,12.56255,0.51256,0.23100,11.92820,0.52537,0.23424,11.07913,0.46624,0.21855,12.26893,0.45312,0.21530,11.93547,0.44024,0.21194,11.87836,0.53295,0.25452,7.88064,0.41663,0.22950,10.57489,0.49868,0.30904,8.65957,0.44954,0.29712,10.34980,0.58849,0.40575,5.31645,0.31761,0.46191,6.38628,0.74700,0.29359,5.62438,0.29104,0.76780,4.26806,0.87893,0.07840,4.85148,0.37020,0.94983,5.37277,0.91421,0.01255,3.94797,0.39384,1.01937,4.56685,0.90030,-0.01451,4.02778,0.41614,0.98510,4.72568,0.88353,0.01747,4.57866,0.41781,0.96203,5.07577,0.59078,0.90730,4.56167,5.01234,0.38617,0.92256
3,Disco,0.48193,0.26309,11.81323,0.49994,0.22787,12.47780,0.51251,0.23097,11.84078,0.52531,0.23419,10.97125,0.46617,0.21859,12.26520,0.45300,0.21535,11.91675,0.44006,0.21201,11.80548,0.53297,0.25454,7.75015,0.41660,0.22963,10.40757,0.49866,0.30914,8.25027,0.44941,0.29732,9.94364,0.58843,0.40539,4.89049,0.31779,0.46193,6.03997,0.74554,0.29435,5.42987,0.29202,0.76731,4.51456,0.87860,0.08002,4.60157,0.36821,0.94782,5.42621,0.91326,0.01535,3.75837,0.39041,1.01644,4.60507,0.89946,-0.01145,3.81568,0.41211,0.98274,4.69129,0.88304,0.02016,4.32986,0.41391,0.95975,5.05378,0.58911,0.90730,4.42543,5.04656,0.38553,0.92155
4,Disco,0.48191,0.26309,11.68754,0.49959,0.22793,12.58648,0.51218,0.23110,11.90837,0.52499,0.23441,10.99548,0.46589,0.21859,12.30771,0.45274,0.21533,11.94415,0.43983,0.21194,11.83159,0.53284,0.25496,7.62512,0.41643,0.22959,10.41363,0.49861,0.30929,8.14349,0.44913,0.29732,9.97623,0.58842,0.40559,4.76322,0.31734,0.46177,6.08921,0.74467,0.29881,5.55025,0.29157,0.76980,4.53221,0.87687,0.08794,4.92222,0.37203,0.95148,5.81171,0.91211,0.02185,4.10808,0.39577,1.01998,4.97353,0.89870,-0.00404,4.16866,0.41856,0.98501,5.08210,0.88177,0.02860,4.69739,0.42065,0.96226,5.45643,0.59041,0.90751,4.01790,4.76203,0.38554,0.92333
5,Disco,0.48190,0.26305,11.70468,0.49956,0.22784,12.55423,0.51214,0.23095,11.82843,0.52495,0.23419,10.88979,0.46587,0.21858,12.44806,0.45273,0.21533,12.07968,0.43983,0.21195,11.93868,0.53283,0.25480,7.57098,0.41654,0.22962,10.39210,0.49869,0.30925,8.04335,0.44926,0.29730,9.72940,0.58858,0.40543,4.55042,0.31828,0.46149,6.05587,0.74779,0.29992,5.19713,0.29130,0.76711,4.54768,0.87777,0.08706,4.39524,0.36665,0.94733,5.74074,0.91334,0.02119,3.54511,0.38725,1.01640,4.88667,0.89907,-0.00406,3.62223,0.41141,0.98083,5.01570,0.88256,0.02825,4.15257,0.41453,0.95743,5.39290,0.58909,0.90612,3.75936,4.63408,0.38513,0.92321
6,Disco,0.48212,0.26306,11.42370,0.49978,0.22788,12.37031,0.51233,0.23103,11.72728,0.52507,0.23432,10.84809,0.46611,0.21859,11.97856,0.45294,0.21533,11.59023,0.43999,0.21193,11.49333,0.53286,0.25519,7.50223,0.41645,0.22963,10.09319,0.49883,0.30953,8.05241,0.44927,0.29736,9.78335,0.58853,0.40553,4.72672,0.31812,0.46216,5.43326,0.74524,0.29647,5.83456,0.29330,0.76924,4.00291,0.87671,0.08647,5.22784,0.37185,0.95965,5.21601,0.91274,0.02112,4.33745,0.39115,1.03185,4.43272,0.89878,-0.00468,4.38182,0.41431,0.99849,4.55543,0.88204,0.02744,4.90828,0.41785,0.97444,4.91049,0.59037,0.90612,3.63911,3.99202,0.38584,0.92482
7,Disco,0.48178,0.26294,11.48875,0.49926,0.22784,11.97636,0.51169,0.23094,11.32870,0.52428,0.23415,10.49804,0.46589,0.21860,11.88075,0.45284,0.21534,11.63741,0.43998,0.21193,11.64081,0.53229,0.25447,7.46201,0.41651,0.22959,10.43315,0.49854,0.30905,8.32084,0.44929,0.29719,10.03010,0.58843,0.40520,5.08813,0.31821,0.46146,6.35199,0.74990,0.29672,5.41516,0.29319,0.76546,4.69007,0.87676,0.08533,4.65822,0.37134,0.95542,5.80323,0.91248,0.01854,3.75322,0.39098,1.02749,4.95356,0.89810,-0.00934,3.84057,0.41416,0.99268,5.09768,0.88193,0.02313,4.40240,0.41749,0.96848,5.46991,0.58995,0.90603,4.27580,4.84216,0.38571,0.92411
8,Disco,0.48216,0.26272,11.51670,0.49971,0.22782,12.37118,0.51214,0.23092,11.71054,0.52473,0.23412,10.81857,0.46652,0.21860,12.17591,0.45355,0.21534,11.88435,0.44077,0.21193,11.82315,0.53268,0.25437,7.43804,0.41768,0.22952,10.36401,0.49890,0.30878,7.82376,0.44998,0.29694,9.67725,0.58819,0.40462,4.56664,0.31838,0.46125,6.07813,0.74836,0.29635,5.66307,0.29306,0.76589,4.70523,0.87571,0.08534,5.04241,0.37221,0.95313,6.04518,0.91197,0.01944,4.16165,0.39353,1.02425,5.13985,0.89698,-0.00715,4.22124,0.41906,0.98909,5.24739,0.88083,0.02530,4.75931,0.42163,0.96569,5.63509,0.58900,0.90575,3.39994,4.27864,0.38563,0.92395
9,Disco,0.48266,0.26206,11.15729,0.50009,0.22735,11.88525,0.51256,0.23043,11.24182,0.52522,0.23361,10.36025,0.46679,0.21811,11.69287,0.45377,0.21485,11.45305,0.44096,0.21143,11.45144,0.53276,0.25362,7.20562,0.41761,0.22884,10.15306,0.49932,0.30799,7.93830,0.45040,0.29618,9.79519,0.58759,0.40352,4.69881,0.31808,0.46059,6.29371,0.74633,0.29559,5.41576,0.29014,0.76715,4.74064,0.87338,0.08236,4.55971,0.37365,0.95273,5.87509,0.90830,0.01520,3.71675,0.39710,1.02360,4.96967,0.89502,-0.01135,3.77713,0.42190,0.98861,5.06769,0.87858,0.02177,4.33180,0.42403,0.96527,5.45496,0.58996,0.90202,4.06897,5.15823,0.38577,0.92208
10,Disco,0.48254,0.26111,11.55927,0.49997,0.22670,11.91180,0.51246,0.22991,11.29624,0.52512,0.23322,10.45209,0.46669,0.21715,11.78782,0.45368,0.21379,11.53071,0.44089,0.21027,11.50899,0.53260,0.25371,7.38610,0.41747,0.22813,10.27879,0.49906,0.30760,8.39574,0.45020,0.29537,10.18888,0.58679,0.40379,4.94521,0.31806,0.46071,6.21824,0.74633,0.29577,5.34359,0.29029,0.76388,4.49464,0.87382,0.08041,4.35933,0.35985,0.94759,5.31117,0.90836,0.01324,3.51255,0.37788,1.01651,4.49762,0.89522,-0.01528,3.56188,0.39729,0.98189,4.59965,0.87983,0.01681,4.09114,0.40110,0.95803,4.96386,0.58894,0.90287,4.88952,5.42885,0.38590,0.92115
11,Disco,0.48231,0.26112,11.63468,0.49986,0.22673,12.32556,0.51234,0.22993,11.63196,0.52500,0.23322,10.72214,0.46662,0.21715,12.22299,0.45363,0.21382,11.89902,0.44086,0.21033,11.80547,0.53258,0.25367,7.50048,0.41748,0.22820,10.44826,0.49893,0.30761,8.22051,0.45012,0.29541,9.95174,0.58670,0.40393,4.86952,0.31828,0.46057,6.34327,0.74690,0.29596,5.29919,0.29031,0.76183,4.70805,0.87409,0.08051,4.37584,0.35988,0.94739,5.74681,0.90863,0.01331,3.48679,0.37797,1.01648,4.87658,0.89526,-0.01517,3.56706,0.39832,0.98174,5.00439,0.87984,0.01689,4.11904,0.40208,0.95794,5.38901,0.58358,0.90365,4.40362,5.12976,0.38216,0.92022
12,Disco,0.48401,0.26109,11.70235,0.50118,0.22667,12.68331,0.51363,0.22987,11.97328,0.52626,0.23318,11.06171,0.46795,0.21728,12.44237,0.45494,0.21402,12.08410,0.44214,0.21064,11.98766,0.53389,0.25349,7.83048,0.41864,0.22840,10.48628,0.50076,0.30751,8.26547,0.45205,0.29537,9.88950,0.58817,0.40364,4.84445,0.32050,0.46052,5.97265,0.74269,0.30648,5.69327,0.29030,0.75845,4.54253,0.87077,0.09267,5.09930,0.35959,0.94663,5.60182,0.90600,0.02273,4.24378,0.37667,1.01643,4.75337,0.89338,-0.00598,4.30526,0.39973,0.98214,4.86884,0.87706,0.02711,4.83966,0.40354,0.95839,5.23414,0.58744,0.90374,3.69113,4.52460,0.38558,0.92073
13,Disco,0.48291,0.26194,11.60985,0.50048,0.22708,12.12995,0.51309,0.23026,11.40344,0.52587,0.23354,10.44618,0.46710,0.21758,12.05741,0.45405,0.21427,11.70650,0.44123,0.21083,11.59810,0.53379,0.25381,7.29621,0.41802,0.22844,10.20286,0.49979,0.30834,8.22091,0.45096,0.29607,9.83674,0.58719,0.40300,4.81885,0.32056,0.46014,5.84015,0.74177,0.30794,5.27730,0.29432,0.75784,4.40718,0.87074,0.09337,4.37797,0.35982,0.94555,5.27880,0.90660,0.02393,3.54225,0.37610,1.01650,4.48365,0.89431,-0.00495,3.59551,0.39912,0.98417,4.62268,0.87755,0.02801,4.10705,0.40345,0.95958,4.97052,0.58638,0.90208,4.35460,4.91774,0.38638,0.92028
14,Disco,0.48299,0.26180,11.22967,0.50048,0.22702,11.86954,0.51309,0.23020,11.33018,0.52586,0.23350,10.55205,0.46711,0.21744,11.46486,0.45406,0.21410,11.14869,0.44124,0.21061,11.10607,0.53314,0.25378,7.52647,0.41748,0.22824,9.80090,0.49975,0.30831,8.13074,0.45093,0.29595,9.62944,0.58603,0.40304,4.91032,0.31955,0.46027,5.21716,0.74176,0.30544,5.63918,0.29393,0.75903,3.87673,0.87112,0.09298,5.00158,0.36223,0.94811,5.00007,0.90739,0.02390,4.11702,0.38006,1.01883,4.29735,0.89477,-0.00494,4.19112,0.40400,0.98872,4.46232,0.87782,0.02798,4.70187,0.40785,0.96432,4.78495,0.58728,0.90128,3.94860,4.07530,0.38747,0.92021
15,Disco,0.48283,0.26131,11.98287,0.50057,0.22677,12.46675,0.51308,0.22997,11.87766,0.52575,0.23329,11.07558,0.46733,0.21722,12.21228,0.45438,0.21388,11.87832,0.44164,0.21041,11.79502,0.53322,0.25383,7.89768,0.41835,0.22810,10.42304,0.49941,0.30768,8.58506,0.45073,0.29539,10.08045,0.58646,0.40509,5.24681,0.31947,0.45989,5.63363,0.74280,0.30447,5.70328,0.29519,0.76221,3.78364,0.86846,0.09517,5.19529,0.36261,0.95365,4.84395,0.90429,0.02787,4.30297,0.37912,1.02412,4.15728,0.89075,0.00330,4.37234,0.40298,0.99435,4.34714,0.87405,0.03569,4.85721,0.40711,0.97052,4.66220,0.58629,0.90502,4.43532,4.13794,0.38401,0.91862
16,Disco,0.48146,0.26129,12.35297,0.49932,0.22682,13.18717,0.51191,0.22973,12.42417,0.52467,0.23279,11.48256,0.46592,0.21842,12.93406,0.45295,0.21558,12.42245,0.44021,0.21263,12.20962,0.53400,0.25346,8.19528,0.41810,0.23120,10.57080,0.49934,0.30727,8.76965,0.45040,0.29634,10.15044,0.59247,0.40501,5.29057,0.32455,0.45933,6.01328,0.74044,0.30821,5.79920,0.29588,0.75963,4.50520,0.86843,0.09962,5.18064,0.35685,0.94300,5.50947,0.90521,0.03244,4.27559,0.37529,1.00887,4.72805,0.89257,0.00475,4.35659,0.39505,0.97899,4.87508,0.87503,0.03613,4.90522,0.39889,0.95561,5.21220,0.59420,0.90985,4.39511,4.91428,0.38910,0.92448
17,Disco,0.48052,0.26258,12.07739,0.49918,0.22769,13.04323,0.51209,0.23078,12.25232,0.52518,0.23400,11.25954,0.46532,0.21878,12.88507,0.45216,0.21571,12.38661,0.43924,0.21256,12.15559,0.53445,0.25514,7.80028,0.41704,0.23095,10.46089,0.49832,0.30937,8.17568,0.44884,0.29750,9.77374,0.58948,0.40392,4.81016,0.32315,0.45851,5.37842,0.73913,0.30518,5.66462,0.29665,0.75754,4.25448,0.86850,0.09798,5.06782,0.35643,0.94005,5.28004,0.90653,0.03303,4.19225,0.37496,1.00739,4.51487,0.89287,0.00506,4.26931,0.39470,0.97646,4.66771,0.87518,0.03589,4.77716,0.39874,0.95318,5.00364,0.59153,0.90434,3.72253,4.07477,0.38987,0.91831
